invoice_number,vendor_id,what_for,amount_usd,invoice_date,approval_path
INV-2026-02517,VEN071,IT support,12299.43,2025-07-22,manager_under_25k
INV-2026-02874,VEN028,strategy consulting,51988.73,2025-07-22,cfo_over_25k
INV-2026-00206,VEN003,marketing services,40876.98,2025-07-23,cfo_over_25k
INV-2026-00245,VEN028,strategy consulting,54143.97,2025-07-23,cfo_over_25k
INV-2026-01440,VEN051,recruitment,31686.98,2025-07-23,cfo_over_25k
INV-2026-02203,VEN001,office supplies,22186.1,2025-07-23,manager_under_25k
INV-2026-02687,VEN038,marketing services,13908.8,2025-07-23,manager_under_25k
INV-2026-02925,VEN079,software licenses,20385.65,2025-07-23,manager_under_25k
INV-2026-01693,VEN029,HR advisory,20046.94,2025-07-24,manager_under_25k
INV-2026-01847,VEN062,HR advisory,17928.26,2025-07-24,manager_under_25k
INV-2026-01936,VEN020,catering,17036.56,2025-07-24,manager_under_25k
INV-2026-02066,VEN038,marketing services,22658.59,2025-07-24,manager_under_25k
INV-2026-02764,VEN024,marketing services,17350.22,2025-07-24,manager_under_25k
INV-2026-00386,VEN032,software licenses,42092.02,2025-07-25,cfo_over_25k
INV-2026-01055,VEN038,marketing services,25119.58,2025-07-25,cfo_over_25k
INV-2026-01721,VEN075,training services,7103.45,2025-07-25,manager_under_25k
INV-2026-01958,VEN067,insurance broking,21440.9,2025-07-25,manager_under_25k
INV-2026-02367,VEN016,utilities,48440.81,2025-07-25,cfo_over_25k
INV-2026-02433,VEN063,cloud hosting,23731.67,2025-07-25,manager_under_25k
INV-2026-02470,VEN026,cloud hosting,15763.32,2025-07-25,manager_under_25k
INV-2026-02884,VEN052,IT support,19901.35,2025-07-25,manager_under_25k
INV-2026-02935,VEN054,marketing services,28254.4,2025-07-25,cfo_over_25k
INV-2026-00280,VEN004,legal advisory,42993.0,2025-07-26,cfo_over_25k
INV-2026-00697,VEN004,legal advisory,25995.08,2025-07-26,cfo_over_25k
INV-2026-00961,VEN076,utilities,34685.81,2025-07-26,cfo_over_25k
INV-2026-01201,VEN038,marketing services,13688.05,2025-07-26,manager_under_25k
INV-2026-01547,VEN021,training services,20308.41,2025-07-26,manager_under_25k
INV-2026-01904,VEN038,marketing services,16974.74,2025-07-26,manager_under_25k
INV-2026-02634,VEN066,couriers,11753.82,2025-07-26,manager_under_25k
INV-2026-00430,VEN071,IT support,18787.99,2025-07-27,manager_under_25k
INV-2026-00590,VEN006,strategy consulting,127018.44,2025-07-27,cfo_over_25k
INV-2026-00630,VEN045,software licenses,17462.53,2025-07-27,manager_under_25k
INV-2026-01558,VEN013,audit and tax,48303.52,2025-07-27,cfo_over_25k
INV-2026-01701,VEN016,utilities,74630.91,2025-07-27,cfo_over_25k
INV-2026-01719,VEN072,marketing services,25080.83,2025-07-27,cfo_over_25k
INV-2026-02343,VEN060,legal advisory,32777.52,2025-07-27,cfo_over_25k
INV-2026-02400,VEN029,HR advisory,21020.1,2025-07-27,manager_under_25k
INV-2026-02486,VEN009,corporate travel,12831.58,2025-07-27,manager_under_25k
INV-2026-02488,VEN004,legal advisory,59990.91,2025-07-27,cfo_over_25k
INV-2026-02577,VEN022,legal advisory,27096.23,2025-07-27,cfo_over_25k
INV-2026-02988,VEN013,audit and tax,42375.12,2025-07-27,cfo_over_25k
INV-2026-00024,VEN076,utilities,12873.38,2025-07-28,manager_under_25k
INV-2026-00617,VEN077,corporate travel,9027.15,2025-07-28,manager_under_25k
INV-2026-00643,VEN046,legal advisory,22426.6,2025-07-28,manager_under_25k
INV-2026-01015,VEN008,telecoms,45745.8,2025-07-28,cfo_over_25k
INV-2026-01175,VEN068,industrial consumables,8163.2,2025-07-28,manager_under_25k
INV-2026-01839,VEN010,cloud hosting,61353.04,2025-07-28,cfo_over_25k
INV-2026-02193,VEN035,couriers,17215.5,2025-07-28,manager_under_25k
INV-2026-00248,VEN054,marketing services,40313.61,2025-07-29,cfo_over_25k
INV-2026-00990,VEN026,cloud hosting,17506.55,2025-07-29,manager_under_25k
INV-2026-01271,VEN043,utilities,33918.58,2025-07-29,cfo_over_25k
INV-2026-01553,VEN022,legal advisory,26454.03,2025-07-29,cfo_over_25k
INV-2026-01615,VEN016,utilities,71545.04,2025-07-29,cfo_over_25k
INV-2026-01687,VEN051,recruitment,16588.71,2025-07-29,manager_under_25k
INV-2026-01796,VEN026,cloud hosting,31982.22,2025-07-29,cfo_over_25k
INV-2026-00019,VEN047,insurance broking,22000.33,2025-07-30,manager_under_25k
INV-2026-00523,VEN078,legal advisory,26976.19,2025-07-30,cfo_over_25k
INV-2026-00525,VEN013,audit and tax,49587.77,2025-07-30,cfo_over_25k
INV-2026-00921,VEN015,fleet lease,27491.19,2025-07-30,cfo_over_25k
INV-2026-00924,VEN024,marketing services,36708.47,2025-07-30,cfo_over_25k
INV-2026-01164,VEN046,legal advisory,20400.54,2025-07-30,manager_under_25k
INV-2026-02357,VEN020,catering,19236.42,2025-07-30,manager_under_25k
INV-2026-02666,VEN076,utilities,25579.56,2025-07-30,cfo_over_25k
INV-2026-02997,VEN063,cloud hosting,15969.27,2025-07-30,manager_under_25k
INV-2026-00777,VEN029,HR advisory,23472.13,2025-07-31,manager_under_25k
INV-2026-01112,VEN018,recruitment,32565.55,2025-07-31,cfo_over_25k
INV-2026-01876,VEN010,cloud hosting,25934.17,2025-07-31,cfo_over_25k
INV-2026-02088,VEN080,HR advisory,14044.23,2025-07-31,manager_under_25k
INV-2026-02271,VEN076,utilities,34235.26,2025-07-31,cfo_over_25k
INV-2026-02552,VEN043,utilities,44923.06,2025-07-31,cfo_over_25k
INV-2026-02792,VEN053,couriers,11432.34,2025-07-31,manager_under_25k
INV-2026-00469,VEN026,cloud hosting,23960.18,2025-08-01,manager_under_25k
INV-2026-00980,VEN006,strategy consulting,94611.25,2025-08-01,cfo_over_25k
INV-2026-01215,VEN010,cloud hosting,25215.33,2025-08-01,cfo_over_25k
INV-2026-02007,VEN001,office supplies,21088.65,2025-08-01,manager_under_25k
INV-2026-02420,VEN031,managed print,7223.18,2025-08-01,manager_under_25k
INV-2026-02676,VEN016,utilities,30842.2,2025-08-01,cfo_over_25k
INV-2026-02744,VEN073,catering,8923.18,2025-08-01,manager_under_25k
INV-2026-00116,VEN008,telecoms,36799.8,2025-08-02,cfo_over_25k
INV-2026-00151,VEN033,audit and tax,23293.85,2025-08-02,manager_under_25k
INV-2026-01394,VEN077,corporate travel,7529.0,2025-08-02,manager_under_25k
INV-2026-02112,VEN041,translation services,8069.98,2025-08-02,manager_under_25k
INV-2026-00632,VEN006,strategy consulting,112086.71,2025-08-03,cfo_over_25k
INV-2026-01954,VEN063,cloud hosting,20530.94,2025-08-03,manager_under_25k
INV-2026-01961,VEN025,office supplies,8986.54,2025-08-03,manager_under_25k
INV-2026-02290,VEN030,cloud hosting,20846.23,2025-08-03,manager_under_25k
INV-2026-02612,VEN072,marketing services,16647.93,2025-08-03,manager_under_25k
INV-2026-02622,VEN028,strategy consulting,43617.0,2025-08-03,cfo_over_25k
INV-2026-00133,VEN006,strategy consulting,42348.77,2025-08-04,cfo_over_25k
INV-2026-00440,VEN062,HR advisory,18503.23,2025-08-04,manager_under_25k
INV-2026-00506,VEN032,software licenses,28742.19,2025-08-04,cfo_over_25k
INV-2026-00639,VEN071,IT support,11993.07,2025-08-04,manager_under_25k
INV-2026-00880,VEN023,IT support,23058.82,2025-08-04,manager_under_25k
INV-2026-01139,VEN006,strategy consulting,59649.87,2025-08-04,cfo_over_25k
INV-2026-01230,VEN037,catering,8201.46,2025-08-04,manager_under_25k
INV-2026-02904,VEN010,cloud hosting,52727.06,2025-08-04,cfo_over_25k
INV-2026-00063,VEN012,insurance broking,22987.71,2025-08-05,manager_under_25k
INV-2026-00178,VEN022,legal advisory,13551.53,2025-08-05,manager_under_25k
INV-2026-00365,VEN041,translation services,3156.66,2025-08-05,manager_under_25k
INV-2026-00600,VEN013,audit and tax,42766.61,2025-08-05,cfo_over_25k
INV-2026-00674,VEN021,training services,16112.91,2025-08-05,manager_under_25k
INV-2026-01222,VEN040,HR advisory,21378.86,2025-08-05,manager_under_25k
INV-2026-01366,VEN070,recruitment,14928.19,2025-08-05,manager_under_25k
INV-2026-01420,VEN013,audit and tax,59732.71,2025-08-05,cfo_over_25k
INV-2026-01882,VEN076,utilities,13006.55,2025-08-05,manager_under_25k
INV-2026-02189,VEN042,audit and tax,40893.13,2025-08-05,cfo_over_25k
INV-2026-02691,VEN025,office supplies,4076.65,2025-08-05,manager_under_25k
INV-2026-00649,VEN019,security services,25185.47,2025-08-06,cfo_over_25k
INV-2026-00762,VEN001,office supplies,13259.71,2025-08-06,manager_under_25k
INV-2026-00943,VEN016,utilities,67393.12,2025-08-06,cfo_over_25k
INV-2026-01642,VEN076,utilities,37737.97,2025-08-06,cfo_over_25k
INV-2026-01751,VEN016,utilities,46184.2,2025-08-06,cfo_over_25k
INV-2026-01774,VEN006,strategy consulting,95794.03,2025-08-06,cfo_over_25k
INV-2026-02222,VEN045,software licenses,21139.15,2025-08-06,manager_under_25k
INV-2026-02284,VEN027,corporate travel,24996.65,2025-08-06,manager_under_25k
INV-2026-02522,VEN063,cloud hosting,10903.92,2025-08-06,manager_under_25k
INV-2026-00230,VEN068,industrial consumables,16036.58,2025-08-07,manager_under_25k
INV-2026-00584,VEN079,software licenses,11317.85,2025-08-07,manager_under_25k
INV-2026-00963,VEN028,strategy consulting,49268.12,2025-08-07,cfo_over_25k
INV-2026-01523,VEN010,cloud hosting,35536.25,2025-08-07,cfo_over_25k
INV-2026-01858,VEN001,office supplies,23652.26,2025-08-07,manager_under_25k
INV-2026-02077,VEN033,audit and tax,12327.24,2025-08-07,manager_under_25k
INV-2026-02381,VEN001,office supplies,18953.36,2025-08-07,manager_under_25k
INV-2026-00257,VEN008,telecoms,28869.13,2025-08-08,cfo_over_25k
INV-2026-00350,VEN051,recruitment,33344.46,2025-08-08,cfo_over_25k
INV-2026-00352,VEN022,legal advisory,35316.46,2025-08-08,cfo_over_25k
INV-2026-00353,VEN060,legal advisory,17512.0,2025-08-08,manager_under_25k
INV-2026-01276,VEN030,cloud hosting,18738.45,2025-08-08,manager_under_25k
INV-2026-01646,VEN078,legal advisory,16605.29,2025-08-08,manager_under_25k
INV-2026-01978,VEN009,corporate travel,25233.09,2025-08-08,cfo_over_25k
INV-2026-00161,VEN026,cloud hosting,31093.82,2025-08-09,cfo_over_25k
INV-2026-00549,VEN003,marketing services,17645.49,2025-08-09,manager_under_25k
INV-2026-00585,VEN013,audit and tax,57060.79,2025-08-09,cfo_over_25k
INV-2026-00687,VEN027,corporate travel,18465.67,2025-08-09,manager_under_25k
INV-2026-00749,VEN006,strategy consulting,72544.27,2025-08-09,cfo_over_25k
INV-2026-01256,VEN016,utilities,69428.19,2025-08-09,cfo_over_25k
INV-2026-01462,VEN029,HR advisory,12912.34,2025-08-09,manager_under_25k
INV-2026-01563,VEN039,training services,13706.74,2025-08-09,manager_under_25k
INV-2026-02387,VEN022,legal advisory,32278.96,2025-08-09,cfo_over_25k
INV-2026-02966,VEN010,cloud hosting,44609.65,2025-08-09,cfo_over_25k
INV-2026-00048,VEN026,cloud hosting,37502.49,2025-08-10,cfo_over_25k
INV-2026-00132,VEN005,managed print,8628.57,2025-08-10,manager_under_25k
INV-2026-00606,VEN057,marketing services,15652.62,2025-08-10,manager_under_25k
INV-2026-00720,VEN006,strategy consulting,106277.74,2025-08-10,cfo_over_25k
INV-2026-00758,VEN059,corporate travel,17751.22,2025-08-10,manager_under_25k
INV-2026-01414,VEN028,strategy consulting,54404.23,2025-08-10,cfo_over_25k
INV-2026-02032,VEN060,legal advisory,30944.07,2025-08-10,cfo_over_25k
INV-2026-02440,VEN032,software licenses,18578.4,2025-08-10,manager_under_25k
INV-2026-02526,VEN046,legal advisory,32126.67,2025-08-10,cfo_over_25k
INV-2026-00014,VEN051,recruitment,31423.64,2025-08-11,cfo_over_25k
INV-2026-00293,VEN058,security services,15420.08,2025-08-11,manager_under_25k
INV-2026-01061,VEN077,corporate travel,12235.69,2025-08-11,manager_under_25k
INV-2026-02226,VEN058,security services,5693.57,2025-08-11,manager_under_25k
INV-2026-02316,VEN034,legal advisory,22162.72,2025-08-11,manager_under_25k
INV-2026-02358,VEN013,audit and tax,53777.01,2025-08-11,cfo_over_25k
INV-2026-00246,VEN016,utilities,73588.88,2025-08-12,cfo_over_25k
INV-2026-01062,VEN021,training services,18524.36,2025-08-12,manager_under_25k
INV-2026-01686,VEN054,marketing services,33917.12,2025-08-12,cfo_over_25k
INV-2026-01739,VEN069,audit and tax,21645.9,2025-08-12,manager_under_25k
INV-2026-02471,VEN071,IT support,9696.38,2025-08-12,manager_under_25k
INV-2026-00425,VEN003,marketing services,17877.84,2025-08-13,manager_under_25k
INV-2026-00560,VEN003,marketing services,49113.7,2025-08-13,cfo_over_25k
INV-2026-01294,VEN028,strategy consulting,22659.19,2025-08-13,manager_under_25k
INV-2026-01446,VEN015,fleet lease,20362.91,2025-08-13,manager_under_25k
INV-2026-02571,VEN042,audit and tax,20587.21,2025-08-13,manager_under_25k
INV-2026-02593,VEN004,legal advisory,60413.21,2025-08-13,cfo_over_25k
INV-2026-02632,VEN028,strategy consulting,38433.25,2025-08-13,cfo_over_25k
INV-2026-00281,VEN079,software licenses,14074.46,2025-08-14,manager_under_25k
INV-2026-00401,VEN032,software licenses,26975.24,2025-08-14,cfo_over_25k
INV-2026-00577,VEN007,industrial consumables,13764.51,2025-08-14,manager_under_25k
INV-2026-00704,VEN026,cloud hosting,22302.95,2025-08-14,manager_under_25k
INV-2026-01466,VEN050,industrial consumables,15913.82,2025-08-14,manager_under_25k
INV-2026-01869,VEN051,recruitment,14641.65,2025-08-14,manager_under_25k
INV-2026-01938,VEN040,HR advisory,21956.36,2025-08-14,manager_under_25k
INV-2026-02536,VEN042,audit and tax,12801.96,2025-08-14,manager_under_25k
INV-2026-00348,VEN028,strategy consulting,41672.66,2025-08-15,manager_under_25k
INV-2026-00450,VEN007,industrial consumables,9621.25,2025-08-15,manager_under_25k
INV-2026-01428,VEN046,legal advisory,42031.21,2025-08-15,cfo_over_25k
INV-2026-01736,VEN006,strategy consulting,94142.63,2025-08-15,cfo_over_25k
INV-2026-01737,VEN010,cloud hosting,57362.61,2025-08-15,cfo_over_25k
INV-2026-02235,VEN061,software licenses,16830.22,2025-08-15,manager_under_25k
INV-2026-02337,VEN060,legal advisory,26072.63,2025-08-15,cfo_over_25k
INV-2026-02749,VEN071,IT support,11578.48,2025-08-15,manager_under_25k
INV-2026-02877,VEN056,training services,15927.17,2025-08-15,manager_under_25k
INV-2026-00011,VEN003,marketing services,18852.73,2025-08-16,manager_under_25k
INV-2026-00299,VEN028,strategy consulting,58274.95,2025-08-16,cfo_over_25k
INV-2026-00463,VEN023,IT support,21809.87,2025-08-16,manager_under_25k
INV-2026-00558,VEN014,cleaning services,10809.47,2025-08-16,manager_under_25k
INV-2026-01321,VEN019,security services,18744.48,2025-08-16,manager_under_25k
INV-2026-01549,VEN007,industrial consumables,9645.06,2025-08-16,manager_under_25k
INV-2026-02283,VEN023,IT support,19344.78,2025-08-16,manager_under_25k
INV-2026-02318,VEN022,legal advisory,14595.65,2025-08-16,manager_under_25k
INV-2026-00025,VEN045,software licenses,14112.01,2025-08-17,manager_under_25k
INV-2026-00443,VEN004,legal advisory,60083.15,2025-08-17,cfo_over_25k
INV-2026-00949,VEN023,IT support,10241.28,2025-08-17,manager_under_25k
INV-2026-01075,VEN058,security services,6982.67,2025-08-17,manager_under_25k
INV-2026-01708,VEN011,market research,9438.23,2025-08-17,manager_under_25k
INV-2026-02468,VEN016,utilities,77284.57,2025-08-17,cfo_over_25k
INV-2026-02716,VEN022,legal advisory,39709.51,2025-08-17,cfo_over_25k
INV-2026-00059,VEN054,marketing services,16764.42,2025-08-18,manager_under_25k
INV-2026-00109,VEN010,cloud hosting,25345.32,2025-08-18,manager_under_25k
INV-2026-00403,VEN023,IT support,11442.09,2025-08-18,manager_under_25k
INV-2026-00615,VEN003,marketing services,18699.85,2025-08-18,manager_under_25k
INV-2026-00633,VEN028,strategy consulting,38140.49,2025-08-18,cfo_over_25k
INV-2026-00992,VEN009,corporate travel,38274.56,2025-08-18,cfo_over_25k
INV-2026-02190,VEN006,strategy consulting,78237.17,2025-08-18,cfo_over_25k
INV-2026-02347,VEN034,legal advisory,17271.17,2025-08-18,manager_under_25k
INV-2026-02624,VEN006,strategy consulting,66052.82,2025-08-18,cfo_over_25k
INV-2026-00131,VEN064,managed print,6099.8,2025-08-19,manager_under_25k
INV-2026-00891,VEN007,industrial consumables,26281.33,2025-08-19,cfo_over_25k
INV-2026-01518,VEN007,industrial consumables,14681.72,2025-08-19,manager_under_25k
INV-2026-01951,VEN028,strategy consulting,33840.16,2025-08-19,cfo_over_25k
INV-2026-02418,VEN069,audit and tax,15436.22,2025-08-19,manager_under_25k
INV-2026-02822,VEN052,IT support,9411.72,2025-08-19,manager_under_25k
INV-2026-00669,VEN040,HR advisory,11958.42,2025-08-20,manager_under_25k
INV-2026-01482,VEN028,strategy consulting,56307.94,2025-08-20,cfo_over_25k
INV-2026-02592,VEN067,insurance broking,9566.18,2025-08-20,manager_under_25k
INV-2026-00301,VEN011,market research,6477.16,2025-08-21,manager_under_25k
INV-2026-00498,VEN040,HR advisory,20061.81,2025-08-21,manager_under_25k
INV-2026-00965,VEN058,security services,7584.81,2025-08-21,manager_under_25k
INV-2026-01444,VEN026,cloud hosting,17353.82,2025-08-21,manager_under_25k
INV-2026-01759,VEN003,marketing services,49429.96,2025-08-21,cfo_over_25k
INV-2026-01818,VEN018,recruitment,42933.4,2025-08-21,cfo_over_25k
INV-2026-01929,VEN048,cleaning services,6554.22,2025-08-21,manager_under_25k
INV-2026-02037,VEN001,office supplies,13053.35,2025-08-21,manager_under_25k
INV-2026-02129,VEN009,corporate travel,13623.62,2025-08-21,manager_under_25k
INV-2026-02501,VEN057,marketing services,12314.75,2025-08-21,manager_under_25k
INV-2026-00001,VEN018,recruitment,29179.56,2025-08-22,cfo_over_25k
INV-2026-00185,VEN053,couriers,14378.11,2025-08-22,manager_under_25k
INV-2026-00190,VEN057,marketing services,8515.92,2025-08-22,manager_under_25k
INV-2026-00298,VEN055,catering,10025.59,2025-08-22,manager_under_25k
INV-2026-00385,VEN015,fleet lease,29003.01,2025-08-22,cfo_over_25k
INV-2026-01210,VEN015,fleet lease,47639.37,2025-08-22,cfo_over_25k
INV-2026-01429,VEN007,industrial consumables,9811.66,2025-08-22,manager_under_25k
INV-2026-02642,VEN023,IT support,29997.73,2025-08-22,cfo_over_25k
INV-2026-02978,VEN026,cloud hosting,23388.23,2025-08-22,manager_under_25k
INV-2026-00092,VEN010,cloud hosting,58432.71,2025-08-23,cfo_over_25k
INV-2026-00102,VEN016,utilities,76014.56,2025-08-23,cfo_over_25k
INV-2026-00218,VEN053,couriers,10809.96,2025-08-23,manager_under_25k
INV-2026-00371,VEN030,cloud hosting,18748.8,2025-08-23,manager_under_25k
INV-2026-01481,VEN028,strategy consulting,28450.61,2025-08-23,cfo_over_25k
INV-2026-02563,VEN036,security services,22939.16,2025-08-23,manager_under_25k
INV-2026-02657,VEN016,utilities,24229.75,2025-08-23,manager_under_25k
INV-2026-00160,VEN064,managed print,8253.43,2025-08-24,manager_under_25k
INV-2026-00457,VEN003,marketing services,43879.14,2025-08-24,cfo_over_25k
INV-2026-00591,VEN006,strategy consulting,118562.64,2025-08-24,cfo_over_25k
INV-2026-00918,VEN024,marketing services,27330.75,2025-08-24,cfo_over_25k
INV-2026-01935,VEN032,software licenses,40502.97,2025-08-24,cfo_over_25k
INV-2026-02936,VEN040,HR advisory,10509.05,2025-08-24,manager_under_25k
INV-2026-00982,VEN012,insurance broking,21957.85,2025-08-25,manager_under_25k
INV-2026-00998,VEN019,security services,12932.12,2025-08-25,manager_under_25k
INV-2026-02263,VEN064,managed print,3518.56,2025-08-25,manager_under_25k
INV-2026-00052,VEN063,cloud hosting,32054.69,2025-08-26,cfo_over_25k
INV-2026-00999,VEN078,legal advisory,29248.2,2025-08-26,cfo_over_25k
INV-2026-01040,VEN078,legal advisory,19508.14,2025-08-26,manager_under_25k
INV-2026-01573,VEN006,strategy consulting,65019.68,2025-08-26,cfo_over_25k
INV-2026-01579,VEN060,legal advisory,38408.55,2025-08-26,cfo_over_25k
INV-2026-01631,VEN010,cloud hosting,48533.52,2025-08-26,cfo_over_25k
INV-2026-01991,VEN013,audit and tax,59813.74,2025-08-26,cfo_over_25k
INV-2026-02340,VEN006,strategy consulting,57689.76,2025-08-26,cfo_over_25k
INV-2026-02416,VEN017,translation services,12077.87,2025-08-26,manager_under_25k
INV-2026-02497,VEN013,audit and tax,43899.62,2025-08-26,cfo_over_25k
INV-2026-02763,VEN026,cloud hosting,19141.83,2025-08-26,manager_under_25k
INV-2026-02779,VEN003,marketing services,23810.64,2025-08-26,manager_under_25k
INV-2026-00163,VEN062,HR advisory,8598.87,2025-08-27,manager_under_25k
INV-2026-01193,VEN062,HR advisory,6698.75,2025-08-27,manager_under_25k
INV-2026-01365,VEN004,legal advisory,33646.03,2025-08-27,cfo_over_25k
INV-2026-01745,VEN077,corporate travel,13184.0,2025-08-27,manager_under_25k
INV-2026-02053,VEN013,audit and tax,35688.41,2025-08-27,cfo_over_25k
INV-2026-02297,VEN033,audit and tax,28577.0,2025-08-27,cfo_over_25k
INV-2026-00152,VEN042,audit and tax,31222.75,2025-08-28,cfo_over_25k
INV-2026-00888,VEN036,security services,20379.4,2025-08-28,manager_under_25k
INV-2026-01263,VEN006,strategy consulting,112104.98,2025-08-28,cfo_over_25k
INV-2026-01434,VEN020,catering,20342.22,2025-08-28,manager_under_25k
INV-2026-01833,VEN012,insurance broking,35001.94,2025-08-28,cfo_over_25k
INV-2026-02616,VEN047,insurance broking,24920.37,2025-08-28,manager_under_25k
INV-2026-00228,VEN048,cleaning services,8922.74,2025-08-29,manager_under_25k
INV-2026-00737,VEN034,legal advisory,38856.07,2025-08-29,cfo_over_25k
INV-2026-00755,VEN019,security services,33923.94,2025-08-29,cfo_over_25k
INV-2026-01565,VEN004,legal advisory,66039.66,2025-08-29,cfo_over_25k
INV-2026-01840,VEN042,audit and tax,29891.93,2025-08-29,cfo_over_25k
INV-2026-02083,VEN007,industrial consumables,16425.18,2025-08-29,manager_under_25k
INV-2026-02123,VEN076,utilities,28697.55,2025-08-29,cfo_over_25k
INV-2026-02388,VEN056,training services,13804.13,2025-08-29,manager_under_25k
INV-2026-02510,VEN016,utilities,46219.09,2025-08-29,cfo_over_25k
INV-2026-02812,VEN067,insurance broking,15310.09,2025-08-29,manager_under_25k
INV-2026-02876,VEN025,office supplies,7430.93,2025-08-29,manager_under_25k
INV-2026-02967,VEN034,legal advisory,33310.29,2025-08-29,cfo_over_25k
INV-2026-00691,VEN065,office supplies,9817.59,2025-08-30,manager_under_25k
INV-2026-00981,VEN015,fleet lease,53032.32,2025-08-30,cfo_over_25k
INV-2026-01165,VEN075,training services,11748.4,2025-08-30,manager_under_25k
INV-2026-01180,VEN001,office supplies,10509.88,2025-08-30,manager_under_25k
INV-2026-01542,VEN072,marketing services,12656.24,2025-08-30,manager_under_25k
INV-2026-01629,VEN058,security services,6385.97,2025-08-30,manager_under_25k
INV-2026-01821,VEN013,audit and tax,22929.53,2025-08-30,manager_under_25k
INV-2026-01826,VEN077,corporate travel,12562.95,2025-08-30,manager_under_25k
INV-2026-01915,VEN033,audit and tax,12592.67,2025-08-30,manager_under_25k
INV-2026-00806,VEN051,recruitment,30160.28,2025-08-31,cfo_over_25k
INV-2026-00914,VEN065,office supplies,4799.29,2025-08-31,manager_under_25k
INV-2026-01513,VEN061,software licenses,15879.29,2025-08-31,manager_under_25k
INV-2026-01554,VEN079,software licenses,12573.62,2025-08-31,manager_under_25k
INV-2026-02241,VEN037,catering,8260.85,2025-08-31,manager_under_25k
INV-2026-02375,VEN016,utilities,47370.15,2025-08-31,cfo_over_25k
INV-2026-02545,VEN061,software licenses,17962.56,2025-08-31,manager_under_25k
INV-2026-02921,VEN025,office supplies,4057.08,2025-08-31,manager_under_25k
INV-2026-00524,VEN018,recruitment,49312.55,2025-09-01,cfo_over_25k
INV-2026-00618,VEN053,couriers,9000.0,2025-09-01,manager_under_25k
INV-2026-00623,VEN056,training services,18250.32,2025-09-01,manager_under_25k
INV-2026-01119,VEN061,software licenses,14150.29,2025-09-01,manager_under_25k
INV-2026-01177,VEN051,recruitment,14207.9,2025-09-01,manager_under_25k
INV-2026-01725,VEN061,software licenses,11412.62,2025-09-01,manager_under_25k
INV-2026-01805,VEN046,legal advisory,24072.71,2025-09-01,manager_under_25k
INV-2026-01813,VEN077,corporate travel,8595.4,2025-09-01,manager_under_25k
INV-2026-01928,VEN045,software licenses,20990.83,2025-09-01,manager_under_25k
INV-2026-01975,VEN043,utilities,19469.58,2025-09-01,manager_under_25k
INV-2026-02175,VEN074,cleaning services,6150.85,2025-09-01,manager_under_25k
INV-2026-02285,VEN043,utilities,21041.67,2025-09-01,manager_under_25k
INV-2026-02399,VEN022,legal advisory,39329.13,2025-09-01,cfo_over_25k
INV-2026-02521,VEN004,legal advisory,27754.28,2025-09-01,cfo_over_25k
INV-2026-02565,VEN045,software licenses,25572.95,2025-09-01,cfo_over_25k
INV-2026-02686,VEN010,cloud hosting,63453.08,2025-09-01,cfo_over_25k
INV-2026-02688,VEN028,strategy consulting,27941.35,2025-09-01,cfo_over_25k
INV-2026-00173,VEN006,strategy consulting,109862.76,2025-09-02,cfo_over_25k
INV-2026-00665,VEN003,marketing services,38986.94,2025-09-02,cfo_over_25k
INV-2026-00910,VEN019,security services,31854.11,2025-09-02,cfo_over_25k
INV-2026-01181,VEN074,cleaning services,12707.73,2025-09-02,manager_under_25k
INV-2026-01639,VEN010,cloud hosting,50546.75,2025-09-02,cfo_over_25k
INV-2026-02058,VEN028,strategy consulting,29055.98,2025-09-02,cfo_over_25k
INV-2026-02842,VEN018,recruitment,27070.05,2025-09-02,cfo_over_25k
INV-2026-00030,VEN049,corporate travel,6493.43,2025-09-03,manager_under_25k
INV-2026-00036,VEN002,software licenses,27687.13,2025-09-03,cfo_over_25k
INV-2026-00566,VEN028,strategy consulting,56678.2,2025-09-03,manager_under_25k
INV-2026-00792,VEN032,software licenses,23517.33,2025-09-03,manager_under_25k
INV-2026-00906,VEN043,utilities,22225.86,2025-09-03,manager_under_25k
INV-2026-01418,VEN006,strategy consulting,50915.51,2025-09-03,cfo_over_25k
INV-2026-01583,VEN061,software licenses,21302.96,2025-09-03,manager_under_25k
INV-2026-01912,VEN006,strategy consulting,120481.08,2025-09-03,cfo_over_25k
INV-2026-01957,VEN021,training services,18713.61,2025-09-03,manager_under_25k
INV-2026-02008,VEN006,strategy consulting,43968.99,2025-09-03,cfo_over_25k
INV-2026-02597,VEN026,cloud hosting,33600.99,2025-09-03,cfo_over_25k
INV-2026-02765,VEN028,strategy consulting,29368.61,2025-09-03,cfo_over_25k
INV-2026-02893,VEN018,recruitment,39415.57,2025-09-03,cfo_over_25k
INV-2026-00456,VEN040,HR advisory,21285.83,2025-09-04,manager_under_25k
INV-2026-00537,VEN049,corporate travel,18697.66,2025-09-04,manager_under_25k
INV-2026-00738,VEN057,marketing services,22145.75,2025-09-04,manager_under_25k
INV-2026-01227,VEN004,legal advisory,59747.36,2025-09-04,cfo_over_25k
INV-2026-01338,VEN029,HR advisory,17392.7,2025-09-04,manager_under_25k
INV-2026-02856,VEN004,legal advisory,53477.74,2025-09-04,cfo_over_25k
INV-2026-00286,VEN080,HR advisory,9511.85,2025-09-05,manager_under_25k
INV-2026-00660,VEN052,IT support,14930.2,2025-09-05,manager_under_25k
