po_number,supplier_id,item,units,total_usd,po_date
PO-DM-01205,SUP031,steel sheets,1225,1400003.5,2025-06-23
PO-DM-01586,SUP041,composite panel,180,55405.8,2025-06-23
PO-DM-01789,SUP042,machined housing,127,9013.19,2025-06-23
PO-DM-02157,SUP022,plastic resin,492,1200.48,2025-06-23
PO-DM-02169,SUP048,steel plate,771,662535.72,2025-06-23
PO-DM-00080,SUP031,steel plate,728,783102.32,2025-06-24
PO-DM-00224,SUP001,steel sheets,673,806637.61,2025-06-24
PO-DM-01419,SUP032,M8 bolt pack,218,122.08,2025-06-24
PO-DM-01883,SUP030,plastic pellets,527,685.1,2025-06-24
PO-DM-01911,SUP013,forged steel arm,802,113579.24,2025-06-24
PO-DM-00450,SUP043,molded part A,1388,17488.8,2025-06-25
PO-DM-00556,SUP045,bearing 6204,1426,13318.84,2025-06-25
PO-DM-00571,SUP017,ABS resin,228,490.2,2025-06-25
PO-DM-00622,SUP004,chip A,600,5958.0,2025-06-25
PO-DM-01110,SUP045,bearing 6206,188,3722.4,2025-06-25
PO-DM-01627,SUP001,steel sheets,1194,1169248.38,2025-06-25
PO-DM-01918,SUP020,compression spring 25mm,474,649.38,2025-06-25
PO-DM-02053,SUP007,stamped bracket,164,4011.44,2025-06-25
PO-DM-02302,SUP025,vac-formed tray,1109,21481.33,2025-06-25
PO-DM-02376,SUP003,plastic pellets,637,898.17,2025-06-25
PO-DM-00966,SUP041,composite tube,369,123906.51,2025-06-26
PO-DM-01072,SUP011,steel coil,903,1235854.83,2025-06-26
PO-DM-01291,SUP011,steel plate,1439,1238691.2,2025-06-26
PO-DM-02401,SUP010,aluminum casting body,1496,283477.04,2025-06-26
PO-DM-00230,SUP012,plastic pellets,615,781.05,2025-06-27
PO-DM-00253,SUP001,steel plate,1200,998232.0,2025-06-27
PO-DM-00359,SUP033,casting body,790,142753.0,2025-06-27
PO-DM-00379,SUP035,precision shaft,703,73231.51,2025-06-27
PO-DM-01342,SUP011,steel coil,1076,1277222.76,2025-06-27
PO-DM-01595,SUP004,chip B,735,9628.5,2025-06-27
PO-DM-01867,SUP017,ABS resin,334,607.88,2025-06-27
PO-DM-02186,SUP010,aluminum gear housing,1060,267925.6,2025-06-27
PO-DM-02194,SUP035,precision sleeve,1354,110039.58,2025-06-27
PO-DM-02367,SUP029,chip C,906,15755.34,2025-06-27
PO-DM-00086,SUP002,aluminum sheet,1326,139375.86,2025-06-28
PO-DM-00602,SUP042,machined bracket,255,8282.4,2025-06-28
PO-DM-00779,SUP006,plastic resin,1257,2526.57,2025-06-28
PO-DM-01674,SUP030,plastic resin,1425,2750.25,2025-06-28
PO-DM-01839,SUP049,brass connector,887,23203.92,2025-06-28
PO-DM-01921,SUP002,aluminum sheet,121,10499.17,2025-06-28
PO-DM-02090,SUP035,precision sleeve,1381,158386.89,2025-06-28
PO-DM-02120,SUP001,steel coil,1078,1421418.46,2025-06-28
PO-DM-02130,SUP023,composite panel,450,199192.5,2025-06-28
PO-DM-02435,SUP036,wireform clip,119,140.42,2025-06-28
PO-DM-00189,SUP013,forged steel hub,1064,334489.68,2025-06-29
PO-DM-00717,SUP004,chip A,483,4941.09,2025-06-29
PO-DM-01237,SUP038,PCB assembly type A,637,81841.76,2025-06-29
PO-DM-01658,SUP031,steel sheets,1186,1278555.44,2025-06-29
PO-DM-02140,SUP004,chip A,253,2489.52,2025-06-29
PO-DM-02374,SUP017,ABS resin,520,1175.2,2025-06-29
PO-DM-00299,SUP011,steel coil,1367,1785643.75,2025-06-30
PO-DM-00757,SUP041,composite panel,651,159742.38,2025-06-30
PO-DM-00830,SUP037,plastic resin,1466,3063.94,2025-06-30
PO-DM-00914,SUP027,powder-coated steel coil,95,121822.3,2025-06-30
PO-DM-02257,SUP044,forged hub,1238,250014.1,2025-06-30
PO-DM-02351,SUP035,precision sleeve,581,64392.23,2025-06-30
PO-DM-02456,SUP046,diecast bracket,1482,65030.16,2025-06-30
PO-DM-00067,SUP041,composite panel,57,17483.04,2025-07-01
PO-DM-00378,SUP003,plastic pellets,757,1498.86,2025-07-01
PO-DM-00645,SUP027,galvanized steel sheet,940,1236081.2,2025-07-01
PO-DM-01404,SUP003,plastic resin,679,1052.45,2025-07-01
PO-DM-02144,SUP046,diecast housing,1221,105946.17,2025-07-01
PO-DM-02312,SUP027,galvanized steel sheet,1179,1463740.29,2025-07-01
PO-DM-02426,SUP023,composite panel,1306,494712.8,2025-07-01
PO-DM-00176,SUP029,chip A,466,3760.62,2025-07-02
PO-DM-00578,SUP045,bearing 6206,1393,19195.54,2025-07-02
PO-DM-00609,SUP002,aluminum profile,789,91555.56,2025-07-02
PO-DM-00743,SUP001,steel plate,68,60495.52,2025-07-02
PO-DM-00778,SUP048,steel coil,89,93698.31,2025-07-02
PO-DM-01352,SUP023,composite tube,987,237689.34,2025-07-02
PO-DM-02025,SUP001,steel sheets,1369,1611504.66,2025-07-02
PO-DM-02494,SUP044,forged hub,1495,355496.05,2025-07-02
PO-DM-00598,SUP043,molded part A,833,9771.09,2025-07-03
PO-DM-00890,SUP033,casting bracket,616,91666.96,2025-07-03
PO-DM-01035,SUP035,precision shaft,1461,172076.58,2025-07-03
PO-DM-01116,SUP001,steel sheets,1459,1638369.46,2025-07-03
PO-DM-01431,SUP003,plastic pellets,1068,1399.08,2025-07-03
PO-DM-01498,SUP035,precision sleeve,704,57446.4,2025-07-03
PO-DM-01670,SUP006,plastic pellets,82,157.44,2025-07-03
PO-DM-01743,SUP025,vac-formed housing,571,17820.91,2025-07-03
PO-DM-02050,SUP001,steel sheets,792,827980.56,2025-07-03
PO-DM-00334,SUP018,casting bracket,1343,138006.68,2025-07-04
PO-DM-00524,SUP017,ABS resin,1383,3568.14,2025-07-04
PO-DM-01080,SUP014,iron casting bracket,1479,176193.27,2025-07-04
PO-DM-01221,SUP034,machined component B,1397,132631.18,2025-07-04
PO-DM-01880,SUP034,machined component B,1423,99396.55,2025-07-04
PO-DM-01952,SUP047,plastic resin,918,2028.78,2025-07-04
PO-DM-00269,SUP001,steel sheets,667,787633.62,2025-07-05
PO-DM-00311,SUP023,composite panel,458,196175.14,2025-07-05
PO-DM-01635,SUP037,plastic pellets,1290,1573.8,2025-07-05
PO-DM-01752,SUP041,composite panel,1495,563689.75,2025-07-05
PO-DM-02023,SUP007,stamped clip,255,3006.45,2025-07-05
PO-DM-02192,SUP028,anodizing service batch,602,360880.94,2025-07-05
PO-DM-02300,SUP021,stamped clip,1316,17371.2,2025-07-05
PO-DM-02329,SUP044,forged shaft,622,62324.4,2025-07-05
PO-DM-02402,SUP017,ABS resin,1060,2130.6,2025-07-05
PO-DM-00001,SUP029,chip A,613,4891.74,2025-07-06
PO-DM-00223,SUP040,aluminum sheet,1379,155358.14,2025-07-06
PO-DM-00505,SUP031,steel plate,729,622230.66,2025-07-06
PO-DM-00518,SUP025,vac-formed tray,1453,30295.05,2025-07-06
PO-DM-00531,SUP041,composite panel,887,350338.39,2025-07-06
PO-DM-00656,SUP024,aluminum bracket,243,12903.3,2025-07-06
PO-DM-00752,SUP038,PCB assembly type B,1402,222006.7,2025-07-06
PO-DM-01365,SUP011,steel sheets,1030,1200011.8,2025-07-06
PO-DM-01924,SUP044,forged shaft,1399,223042.57,2025-07-06
PO-DM-02051,SUP046,diecast housing,765,65223.9,2025-07-06
PO-DM-02282,SUP031,steel plate,744,657539.76,2025-07-06
PO-DM-00541,SUP002,aluminum sheet,225,20090.25,2025-07-07
PO-DM-00557,SUP007,stamped bracket,424,8153.52,2025-07-07
PO-DM-00641,SUP049,brass valve body,1057,92994.86,2025-07-07
PO-DM-01129,SUP028,anodizing service batch,1463,770693.77,2025-07-07
PO-DM-01630,SUP011,steel coil,107,139746.28,2025-07-07
PO-DM-01824,SUP002,aluminum profile,156,15297.36,2025-07-07
PO-DM-02396,SUP050,plastic resin,524,1152.8,2025-07-07
PO-DM-02449,SUP042,machined housing,1265,117012.5,2025-07-07
PO-DM-00201,SUP043,molded part A,1069,14035.97,2025-07-08
PO-DM-00260,SUP046,diecast bracket,62,3042.34,2025-07-08
PO-DM-00391,SUP013,forged steel arm,1192,323568.4,2025-07-08
PO-DM-01220,SUP003,plastic resin,196,427.28,2025-07-08
PO-DM-01624,SUP031,steel coil,903,1192610.16,2025-07-08
PO-DM-01775,SUP026,gear set B,614,83639.08,2025-07-08
PO-DM-01944,SUP001,steel plate,368,354395.04,2025-07-08
PO-DM-02085,SUP025,vac-formed housing,249,9290.19,2025-07-08
PO-DM-02245,SUP043,molded part A,226,2515.38,2025-07-08
PO-DM-02263,SUP021,stamped bracket,1486,25068.82,2025-07-08
PO-DM-02447,SUP013,forged steel hub,1366,286450.2,2025-07-08
PO-DM-00182,SUP041,composite tube,549,148976.64,2025-07-09
PO-DM-00235,SUP038,PCB assembly type A,617,102323.28,2025-07-09
PO-DM-00280,SUP011,steel plate,352,279667.52,2025-07-09
PO-DM-00410,SUP023,composite tube,756,280415.52,2025-07-09
PO-DM-00478,SUP011,steel sheets,1202,1385220.86,2025-07-09
PO-DM-00842,SUP035,precision shaft,636,94344.24,2025-07-09
PO-DM-01242,SUP038,PCB assembly type A,752,134164.32,2025-07-09
PO-DM-01361,SUP011,steel sheets,878,1032413.86,2025-07-09
PO-DM-01902,SUP026,gear set B,1475,254762.0,2025-07-09
PO-DM-02171,SUP007,stamped bracket,1395,26784.0,2025-07-09
PO-DM-00070,SUP044,forged hub,806,171839.2,2025-07-10
PO-DM-00234,SUP006,plastic resin,527,943.33,2025-07-10
PO-DM-01527,SUP050,plastic pellets,987,1519.98,2025-07-10
PO-DM-01619,SUP002,aluminum profile,789,68848.14,2025-07-10
PO-DM-01845,SUP004,chip C,982,21054.08,2025-07-10
PO-DM-02041,SUP038,PCB assembly type A,354,55854.12,2025-07-10
PO-DM-02193,SUP026,gear set A,308,34474.44,2025-07-10
PO-DM-02205,SUP004,chip B,1232,15079.68,2025-07-10
PO-DM-00321,SUP001,steel sheets,88,82682.16,2025-07-11
PO-DM-00393,SUP003,plastic pellets,1020,1601.4,2025-07-11
PO-DM-00464,SUP013,forged steel arm,1476,292676.04,2025-07-11
PO-DM-00663,SUP007,stamped bracket,613,10984.96,2025-07-11
PO-DM-00923,SUP001,steel plate,1082,1053597.5,2025-07-11
PO-DM-01137,SUP036,wireform handle,1208,4010.56,2025-07-11
PO-DM-01305,SUP006,plastic resin,446,686.84,2025-07-11
PO-DM-01636,SUP021,stamped clip,971,11011.14,2025-07-11
PO-DM-01755,SUP001,steel plate,1099,1204185.29,2025-07-11
PO-DM-02077,SUP011,steel plate,1081,800372.4,2025-07-11
PO-DM-02362,SUP029,chip A,804,5772.72,2025-07-11
PO-DM-00289,SUP030,plastic pellets,1289,1972.17,2025-07-12
PO-DM-01015,SUP017,ABS resin,434,894.04,2025-07-12
PO-DM-01466,SUP022,plastic pellets,997,1226.31,2025-07-12
PO-DM-00250,SUP011,steel coil,1412,1503356.4,2025-07-13
PO-DM-00350,SUP012,plastic pellets,1211,1368.43,2025-07-13
PO-DM-01105,SUP034,machined component A,904,35807.44,2025-07-13
PO-DM-01567,SUP004,chip B,94,900.52,2025-07-13
PO-DM-02084,SUP013,forged steel hub,1300,334230.0,2025-07-13
PO-DM-02266,SUP038,PCB assembly type A,284,24625.64,2025-07-13
PO-DM-00050,SUP048,steel plate,1405,1387240.8,2025-07-14
PO-DM-00226,SUP048,steel plate,1156,1003003.4,2025-07-14
PO-DM-00255,SUP011,steel sheets,1233,1267018.47,2025-07-14
PO-DM-00615,SUP011,steel plate,466,507814.18,2025-07-14
PO-DM-00934,SUP006,plastic pellets,887,1268.41,2025-07-14
PO-DM-00998,SUP022,plastic resin,262,448.02,2025-07-14
PO-DM-01087,SUP046,diecast housing,458,49454.84,2025-07-14
PO-DM-02029,SUP044,forged hub,679,117521.32,2025-07-14
PO-DM-00203,SUP044,forged shaft,639,113799.51,2025-07-15
PO-DM-00376,SUP014,iron casting bracket,199,31481.8,2025-07-15
PO-DM-00416,SUP002,aluminum profile,60,7072.2,2025-07-15
PO-DM-00588,SUP001,steel plate,991,700151.41,2025-07-15
PO-DM-00682,SUP026,gear set B,668,101495.92,2025-07-15
PO-DM-00810,SUP044,forged hub,73,16274.62,2025-07-15
PO-DM-00911,SUP022,plastic pellets,483,598.92,2025-07-15
PO-DM-01582,SUP035,precision sleeve,314,19508.82,2025-07-15
PO-DM-01593,SUP004,chip A,470,5000.8,2025-07-15
PO-DM-01782,SUP031,steel sheets,540,626367.6,2025-07-15
PO-DM-02056,SUP031,steel sheets,1026,1172820.6,2025-07-15
PO-DM-00102,SUP028,anodizing service batch,1172,584089.64,2025-07-16
PO-DM-00381,SUP048,steel plate,906,724174.86,2025-07-16
PO-DM-00546,SUP047,plastic resin,1106,1780.66,2025-07-16
PO-DM-00732,SUP035,precision sleeve,165,14201.55,2025-07-16
PO-DM-00900,SUP041,composite panel,1102,282663.0,2025-07-16
PO-DM-02279,SUP044,forged shaft,617,56264.23,2025-07-16
PO-DM-00027,SUP010,aluminum casting body,363,43055.43,2025-07-17
PO-DM-01411,SUP002,aluminum sheet,1237,133385.71,2025-07-17
PO-DM-01920,SUP003,plastic resin,1227,2024.55,2025-07-17
PO-DM-00123,SUP004,chip C,284,5617.52,2025-07-18
PO-DM-01390,SUP004,chip B,1469,14219.92,2025-07-18
PO-DM-01397,SUP013,forged steel arm,893,167562.52,2025-07-18
PO-DM-01901,SUP042,machined bracket,672,28654.08,2025-07-18
PO-DM-02070,SUP012,plastic pellets,107,141.24,2025-07-18
PO-DM-00162,SUP030,plastic pellets,341,395.56,2025-07-19
PO-DM-00545,SUP002,aluminum sheet,1377,122208.75,2025-07-19
PO-DM-00573,SUP031,steel plate,1299,1238089.89,2025-07-19
PO-DM-00700,SUP044,forged hub,933,252647.07,2025-07-19
PO-DM-00777,SUP050,plastic pellets,785,1397.3,2025-07-19
PO-DM-00823,SUP023,composite tube,1487,299273.62,2025-07-19
PO-DM-01172,SUP041,composite tube,818,249735.4,2025-07-19
PO-DM-01639,SUP023,composite tube,618,191073.24,2025-07-19
PO-DM-02476,SUP050,plastic resin,1309,2068.22,2025-07-19
PO-DM-00344,SUP010,aluminum gear housing,1284,294267.12,2025-07-20
PO-DM-00519,SUP009,resistor pack,1059,105.9,2025-07-20
PO-DM-01393,SUP022,plastic resin,243,515.16,2025-07-20
PO-DM-02425,SUP011,steel coil,503,607437.89,2025-07-20
PO-DM-02457,SUP035,precision shaft,1114,172458.34,2025-07-20
PO-DM-02481,SUP011,steel sheets,1289,1475608.53,2025-07-20
PO-DM-01660,SUP021,stamped bracket,814,17557.98,2025-07-21
PO-DM-01852,SUP047,plastic pellets,1481,2043.78,2025-07-21
PO-DM-01955,SUP007,stamped bracket,1293,26222.04,2025-07-21
PO-DM-00399,SUP037,plastic resin,155,325.5,2025-07-22
PO-DM-00756,SUP038,PCB assembly type B,1088,169749.76,2025-07-22
PO-DM-01000,SUP017,polypropylene resin,318,594.66,2025-07-22
PO-DM-01198,SUP001,steel sheets,769,782480.57,2025-07-22
PO-DM-01288,SUP029,chip B,249,2808.72,2025-07-22
PO-DM-01597,SUP007,stamped clip,749,6209.21,2025-07-22
PO-DM-01682,SUP013,forged steel arm,1215,255210.75,2025-07-22
PO-DM-00610,SUP013,forged steel arm,798,172759.02,2025-07-23
PO-DM-01069,SUP045,bearing 6204,714,11374.02,2025-07-23
PO-DM-01204,SUP025,vac-formed housing,1165,40378.9,2025-07-23
PO-DM-01287,SUP001,steel plate,1378,1036559.16,2025-07-23
PO-DM-00089,SUP015,memory chip 8GB,1437,28725.63,2025-07-24
PO-DM-00619,SUP028,anodizing service batch,1414,871985.52,2025-07-24
PO-DM-00685,SUP038,PCB assembly type A,1413,196265.7,2025-07-24
PO-DM-00906,SUP041,composite tube,1235,356754.45,2025-07-24
PO-DM-01585,SUP012,plastic pellets,781,1335.51,2025-07-24
PO-DM-01725,SUP006,plastic resin,498,1225.08,2025-07-24
PO-DM-01779,SUP011,steel plate,659,564393.96,2025-07-24
PO-DM-01811,SUP031,steel plate,1470,1107159.9,2025-07-24
PO-DM-00130,SUP029,chip B,1498,14620.48,2025-07-25
PO-DM-00420,SUP045,bearing 6204,905,15222.1,2025-07-25
PO-DM-00766,SUP037,plastic pellets,731,1220.77,2025-07-25
PO-DM-00980,SUP006,plastic resin,1018,2412.66,2025-07-25
PO-DM-01309,SUP001,steel plate,157,167980.58,2025-07-25
PO-DM-01675,SUP012,plastic pellets,1281,1819.02,2025-07-25
PO-DM-01793,SUP041,composite panel,86,32492.52,2025-07-25
PO-DM-02021,SUP030,plastic resin,685,1096.0,2025-07-25
PO-DM-02123,SUP002,aluminum profile,989,84757.3,2025-07-25
PO-DM-02388,SUP027,powder-coated steel coil,826,1085843.08,2025-07-25
PO-DM-00962,SUP035,precision sleeve,205,18208.1,2025-07-26
PO-DM-01055,SUP022,plastic resin,1217,2616.55,2025-07-26
PO-DM-01539,SUP023,composite tube,239,62085.03,2025-07-26
PO-DM-01738,SUP035,precision sleeve,1071,92448.72,2025-07-26
PO-DM-00342,SUP034,machined component A,931,50367.1,2025-07-27
PO-DM-00765,SUP015,memory chip 8GB,343,5669.79,2025-07-27
PO-DM-00916,SUP044,forged hub,164,24044.04,2025-07-27
PO-DM-01139,SUP015,memory chip 8GB,963,15706.53,2025-07-27
PO-DM-01241,SUP038,PCB assembly type B,1485,220284.9,2025-07-27
PO-DM-01462,SUP029,chip B,1425,18268.5,2025-07-27
PO-DM-01508,SUP027,powder-coated steel coil,1436,1808685.08,2025-07-27
PO-DM-01528,SUP003,plastic resin,467,1139.48,2025-07-27
PO-DM-01530,SUP006,plastic resin,1127,2614.64,2025-07-27
PO-DM-01643,SUP044,forged hub,1398,377166.42,2025-07-27
PO-DM-02020,SUP005,casting body,436,80908.52,2025-07-27
PO-DM-02149,SUP003,plastic resin,628,1073.88,2025-07-27
PO-DM-02322,SUP039,casting body,166,24923.24,2025-07-27
PO-DM-00115,SUP002,aluminum sheet,327,48837.45,2025-07-28
PO-DM-02386,SUP010,aluminum gear housing,1483,184233.09,2025-07-28
PO-DM-00149,SUP026,gear set B,1030,172277.8,2025-07-29
PO-DM-00855,SUP012,plastic pellets,1126,1463.8,2025-07-29
PO-DM-01358,SUP050,plastic resin,952,1627.92,2025-07-29
PO-DM-01415,SUP046,diecast bracket,800,59928.0,2025-07-29
PO-DM-01721,SUP007,stamped clip,819,6257.16,2025-07-29
PO-DM-02269,SUP046,diecast bracket,878,56358.82,2025-07-29
PO-DM-02271,SUP029,chip B,349,4250.82,2025-07-29
PO-DM-02335,SUP013,forged steel hub,509,98196.28,2025-07-29
PO-DM-00326,SUP016,bearing 6206,542,10834.58,2025-07-30
PO-DM-00421,SUP047,plastic resin,863,2028.05,2025-07-30
PO-DM-00514,SUP017,ABS resin,259,494.69,2025-07-30
PO-DM-01098,SUP044,forged shaft,1272,202375.2,2025-07-30
PO-DM-01224,SUP015,memory chip 8GB,837,14095.08,2025-07-30
PO-DM-01963,SUP012,plastic resin,766,1892.02,2025-07-30
PO-DM-02220,SUP007,stamped clip,1445,9479.2,2025-07-30
PO-DM-00606,SUP043,molded part A,1110,11177.7,2025-07-31
PO-DM-01009,SUP038,PCB assembly type A,64,8628.48,2025-07-31
PO-DM-01398,SUP002,aluminum profile,1080,79131.6,2025-07-31
PO-DM-01869,SUP012,plastic pellets,1104,1622.88,2025-07-31
PO-DM-00040,SUP026,gear set A,1018,163643.5,2025-08-01
PO-DM-00083,SUP016,bearing 6204,838,14246.0,2025-08-01
PO-DM-00137,SUP032,M10 nut pack,1188,368.28,2025-08-01
PO-DM-00469,SUP041,composite panel,1146,468014.94,2025-08-01
PO-DM-00825,SUP005,casting bracket,491,59897.09,2025-08-01
PO-DM-01953,SUP019,brass sheet,880,80300.0,2025-08-01
PO-DM-02118,SUP037,plastic pellets,492,693.72,2025-08-01
PO-DM-00088,SUP011,steel plate,655,603752.8,2025-08-02
PO-DM-00863,SUP017,polypropylene resin,657,1399.41,2025-08-02
PO-DM-01054,SUP002,aluminum profile,1138,94590.56,2025-08-02
PO-DM-01413,SUP040,aluminum profile,1133,82731.66,2025-08-02
PO-DM-01676,SUP041,composite panel,305,103791.5,2025-08-02
PO-DM-01706,SUP037,plastic pellets,1109,1552.6,2025-08-02
PO-DM-01857,SUP005,casting body,424,86805.52,2025-08-02
PO-DM-01932,SUP029,chip B,1346,16798.08,2025-08-02
PO-DM-02295,SUP006,plastic resin,938,2232.44,2025-08-02
PO-DM-02469,SUP024,aluminum bracket,756,46448.64,2025-08-02
PO-DM-00886,SUP007,stamped clip,1318,8646.08,2025-08-03
PO-DM-01253,SUP013,forged steel hub,1426,362489.2,2025-08-03
PO-DM-01316,SUP005,casting bracket,329,40151.16,2025-08-03
PO-DM-01723,SUP001,steel sheets,341,324529.7,2025-08-03
PO-DM-01873,SUP049,brass connector,838,13994.6,2025-08-03
PO-DM-01899,SUP002,aluminum sheet,628,85225.88,2025-08-03
PO-DM-02496,SUP001,steel sheets,1164,1102447.68,2025-08-03
PO-DM-00824,SUP021,stamped clip,269,2160.07,2025-08-04
PO-DM-00893,SUP027,powder-coated steel coil,336,522258.24,2025-08-04
PO-DM-02315,SUP001,steel sheets,103,115438.28,2025-08-04
PO-DM-00125,SUP026,gear set B,862,200320.18,2025-08-05
PO-DM-01426,SUP027,galvanized steel sheet,395,424972.6,2025-08-05
PO-DM-01724,SUP029,chip B,139,1929.32,2025-08-05
PO-DM-01855,SUP004,chip B,431,5396.12,2025-08-05
PO-DM-01964,SUP014,iron casting body,257,49976.22,2025-08-05
PO-DM-01971,SUP015,memory chip 8GB,114,1741.92,2025-08-05
PO-DM-02177,SUP015,memory chip 8GB,700,14357.0,2025-08-05
PO-DM-00734,SUP043,molded part A,405,2401.65,2025-08-06
PO-DM-00835,SUP023,composite tube,1183,362613.16,2025-08-06
PO-DM-01715,SUP042,machined housing,754,66042.86,2025-08-06
PO-DM-02159,SUP034,machined component A,598,24488.1,2025-08-06
PO-DM-02250,SUP016,bearing 6206,1234,17214.3,2025-08-06
PO-DM-02293,SUP017,polypropylene resin,1355,2574.5,2025-08-06
PO-DM-02308,SUP030,plastic resin,742,1417.22,2025-08-06
PO-DM-02466,SUP050,plastic resin,688,1541.12,2025-08-06
PO-DM-00788,SUP021,stamped bracket,588,15076.32,2025-08-07
PO-DM-01046,SUP001,steel sheets,415,479623.8,2025-08-07
PO-DM-01107,SUP003,plastic resin,1239,2539.95,2025-08-07
PO-DM-01132,SUP001,steel coil,1258,1702677.84,2025-08-07
PO-DM-01435,SUP031,steel plate,1058,1076081.22,2025-08-07
PO-DM-01798,SUP001,steel sheets,149,166930.66,2025-08-07
PO-DM-01996,SUP002,aluminum sheet,667,92066.01,2025-08-07
PO-DM-00936,SUP025,vac-formed housing,1443,39740.22,2025-08-08
PO-DM-01338,SUP024,aluminum bracket,1198,78433.06,2025-08-08
PO-DM-02217,SUP035,precision sleeve,1064,68521.6,2025-08-08
PO-DM-02267,SUP027,galvanized steel sheet,1114,1212867.5,2025-08-08
PO-DM-01409,SUP001,steel sheets,303,355125.09,2025-08-09
PO-DM-01507,SUP010,aluminum gear housing,832,102702.08,2025-08-09
PO-DM-02004,SUP013,forged steel arm,870,195758.7,2025-08-09
PO-DM-01024,SUP006,plastic resin,1117,2457.4,2025-08-10
PO-DM-01334,SUP031,steel plate,1160,1078904.4,2025-08-10
PO-DM-01540,SUP007,stamped clip,232,1429.12,2025-08-10
PO-DM-02150,SUP002,aluminum sheet,790,120885.8,2025-08-10
PO-DM-02411,SUP001,steel sheets,1054,1101651.34,2025-08-10
PO-DM-02448,SUP038,PCB assembly type A,245,33342.05,2025-08-10
PO-DM-00064,SUP035,precision shaft,607,65665.26,2025-08-11
PO-DM-00691,SUP040,aluminum sheet,964,77997.24,2025-08-11
PO-DM-00767,SUP011,steel sheets,59,59484.98,2025-08-11
PO-DM-00913,SUP034,machined component B,1432,140779.92,2025-08-11
PO-DM-01307,SUP046,diecast housing,1370,117121.3,2025-08-11
PO-DM-01756,SUP042,machined bracket,514,26291.1,2025-08-11
PO-DM-01851,SUP002,aluminum sheet,342,34719.84,2025-08-11
PO-DM-01993,SUP035,precision sleeve,537,51294.24,2025-08-11
PO-DM-02010,SUP043,molded part A,1365,18837.0,2025-08-11
PO-DM-02330,SUP041,composite panel,674,278294.6,2025-08-11
PO-DM-02392,SUP035,precision shaft,135,21789.0,2025-08-11
PO-DM-00135,SUP011,steel coil,715,737758.45,2025-08-12
PO-DM-00585,SUP042,machined housing,496,77936.48,2025-08-12
PO-DM-01856,SUP020,compression spring 25mm,972,1020.6,2025-08-12
PO-DM-02174,SUP044,forged hub,839,138753.82,2025-08-12
PO-DM-00092,SUP031,steel coil,954,1096117.38,2025-08-13
PO-DM-00600,SUP001,steel plate,386,338151.44,2025-08-13
PO-DM-00865,SUP023,composite panel,481,189653.49,2025-08-13
PO-DM-01292,SUP048,steel plate,1167,881003.31,2025-08-13
PO-DM-01720,SUP029,chip C,521,8685.07,2025-08-13
PO-DM-01804,SUP006,plastic pellets,926,1120.46,2025-08-13
PO-DM-02410,SUP003,plastic resin,1107,2690.01,2025-08-13
PO-DM-00652,SUP011,steel plate,1477,1390329.64,2025-08-14
PO-DM-00983,SUP001,steel sheets,1464,1328096.88,2025-08-14
PO-DM-01795,SUP031,steel sheets,952,928514.16,2025-08-14
PO-DM-01927,SUP007,stamped bracket,340,6188.0,2025-08-14
PO-DM-02199,SUP048,steel sheets,485,414476.15,2025-08-14
PO-DM-02431,SUP010,aluminum casting body,815,92176.5,2025-08-14
PO-DM-02472,SUP031,steel sheets,1263,1140931.05,2025-08-14
PO-DM-00437,SUP023,composite tube,1150,391460.0,2025-08-15
PO-DM-00444,SUP034,machined component B,571,71557.72,2025-08-15
PO-DM-01266,SUP021,stamped bracket,1157,28647.32,2025-08-15
PO-DM-01960,SUP009,capacitor pack,1342,335.5,2025-08-15
PO-DM-00036,SUP011,steel plate,1184,937787.2,2025-08-16
PO-DM-00098,SUP007,stamped bracket,268,6673.2,2025-08-16
PO-DM-01879,SUP004,chip B,835,10713.05,2025-08-16
PO-DM-02202,SUP004,chip C,266,5623.24,2025-08-16
PO-DM-02216,SUP031,steel coil,852,960033.6,2025-08-16
PO-DM-02231,SUP034,machined component A,352,24340.8,2025-08-16
PO-DM-00315,SUP004,chip B,237,3254.01,2025-08-17
PO-DM-00889,SUP048,steel sheets,59,56618.17,2025-08-17
PO-DM-01064,SUP001,steel sheets,668,569336.4,2025-08-17
PO-DM-01077,SUP048,steel plate,1228,1107520.92,2025-08-17
PO-DM-01119,SUP015,memory chip 8GB,602,13003.2,2025-08-17
PO-DM-01938,SUP009,capacitor pack,822,263.04,2025-08-17
PO-DM-02145,SUP049,brass valve body,432,21803.04,2025-08-17
PO-DM-02403,SUP050,plastic resin,774,1826.64,2025-08-17
PO-DM-02442,SUP026,gear set B,646,107132.64,2025-08-17
PO-DM-00451,SUP005,casting bracket,1133,112065.03,2025-08-18
PO-DM-00819,SUP017,ABS resin,794,1953.24,2025-08-18
PO-DM-01195,SUP030,plastic pellets,1013,1327.03,2025-08-18
PO-DM-01689,SUP018,casting bracket,1109,158731.17,2025-08-18
PO-DM-02032,SUP044,forged shaft,340,30654.4,2025-08-18
PO-DM-02132,SUP032,M10 nut pack,65,50.05,2025-08-18
PO-DM-00161,SUP038,PCB assembly type A,920,84161.6,2025-08-19
PO-DM-00414,SUP007,stamped bracket,1421,37898.07,2025-08-19
PO-DM-00465,SUP011,steel sheets,1151,1169105.23,2025-08-19
PO-DM-00565,SUP001,steel sheets,648,558213.12,2025-08-19
PO-DM-00772,SUP005,casting body,1333,264853.77,2025-08-19
