transaction_id,date,supplier_id,supplier_name,sub_category,part_number,description,unit_of_measure,quantity,unit_price_usd,amount_usd
TXN01212,2026-02-20,SUP010,Keystone Coatings,Other,MR-7003,Pallet and packaging,lot,3,45452.83,134922.56
TXN01213,2026-03-19,SUP010,Keystone Coatings,Other,MR-7002,"Tooling spares, replacement",kit,37,3662.38,134081.2
TXN01214,2025-05-04,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,264,201.29,52580.27
TXN01215,2025-05-06,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,1949,21.29,41063.11
TXN01216,2025-05-09,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,184,201.13,36618.21
TXN01217,2025-05-14,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3114,23.18,71425.75
TXN01218,2025-05-17,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1108,54.12,59338.07
TXN01219,2025-05-27,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,122,199.82,24121.19
TXN01220,2025-05-28,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,5176,21.61,110663.77
TXN01221,2025-06-25,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,218,210.94,45500.11
TXN01222,2025-06-26,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1193,51.19,60423.27
TXN01223,2025-07-03,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,144,197.62,28157.06
TXN01224,2025-07-19,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3808,21.5,81020.47
TXN01225,2025-07-28,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1006,51.24,51004.27
TXN01226,2025-07-31,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,142,201.44,28303.92
TXN01227,2025-08-02,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,4607,21.45,97781.23
TXN01228,2025-08-03,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,2244,23.23,51587.03
TXN01229,2025-08-05,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,606,48.83,29277.66
TXN01230,2025-08-10,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,207,204.54,41893.72
TXN01231,2025-08-17,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,4075,22.39,90296.19
TXN01232,2025-08-18,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,1922,22.6,42987.74
TXN01233,2025-08-25,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,874,49.3,42633.72
TXN01234,2025-08-26,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3829,21.35,80871.17
TXN01235,2025-09-02,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3160,21.66,67725.33
TXN01236,2025-09-04,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,207,205.69,42130.04
TXN01237,2025-09-04,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,683,53.55,36187.65
TXN01238,2025-09-05,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,975,50.51,48724.22
TXN01239,2025-09-07,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,4574,20.93,94707.21
TXN01240,2025-09-12,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3661,21.92,79412.7
TXN01241,2025-09-14,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,626,48.56,30081.49
TXN01242,2025-09-18,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1201,50.45,59955.92
TXN01243,2025-09-22,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3418,21.61,73077.43
TXN01244,2025-09-23,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,254,210.15,52816.18
TXN01245,2025-10-04,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1099,54.23,58970.15
TXN01246,2025-10-11,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1000,52.76,52204.99
TXN01247,2025-10-13,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3236,21.61,69186.24
TXN01248,2025-10-23,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,4581,21.5,97467.11
TXN01249,2025-10-27,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,810,48.36,38755.19
TXN01250,2025-11-04,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,173,188.02,32184.69
TXN01251,2025-11-04,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,199,203.33,40037.13
TXN01252,2025-11-07,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,102,203.23,20510.96
TXN01253,2025-11-15,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,133,204.59,26924.12
TXN01254,2025-11-23,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1264,52.76,65987.1
TXN01255,2025-11-25,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,838,50.82,42138.76
TXN01256,2025-11-30,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,2595,20.93,53730.92
TXN01257,2025-12-13,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,4703,21.19,98598.5
TXN01258,2025-12-14,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,124,192.42,23609.31
TXN01259,2025-12-15,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1361,51.19,68932.16
TXN01260,2025-12-20,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,480,48.51,23040.76
TXN01261,2025-12-26,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,767,53.34,40479.05
TXN01262,2026-01-03,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,971,52.03,49985.6
TXN01263,2026-01-06,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,178,197.93,34860.68
TXN01264,2026-01-10,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,194,197.3,37873.41
TXN01265,2026-01-17,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1364,52.55,70924.46
TXN01266,2026-02-14,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,150,200.24,29719.47
TXN01267,2026-02-19,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,229,207.42,46999.79
TXN01268,2026-02-23,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,253,201.71,50494.46
TXN01269,2026-02-25,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,173,210.89,36098.92
TXN01270,2026-02-26,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,3774,23.23,86760.01
TXN01271,2026-02-26,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,2516,22.97,57187.18
TXN01272,2026-03-02,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,2143,22.5,47708.24
TXN01273,2026-03-24,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,223,204.22,45062.45
TXN01274,2026-04-02,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,4488,21.08,93625.22
TXN01275,2026-04-02,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,4137,21.03,86088.25
TXN01276,2026-04-12,SUP002,Heartland Polymers,Polymers,PM-2001,"ABS resin, automotive grade",kg,5051,20.98,104845.87
TXN01277,2026-04-16,SUP002,Heartland Polymers,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,137,189.28,25657.92
TXN01278,2026-04-20,SUP002,Heartland Polymers,Polymers,PM-2003,Polymer gasket compound,kg,1122,50.03,55546.31
TXN01279,2025-08-17,SUP008,Frontier Plastics,Polymers,PM-2003,Polymer gasket compound,kg,1357,52.24,70137.96
TXN01280,2025-12-22,SUP008,Frontier Plastics,Polymers,PM-2001,"ABS resin, automotive grade",kg,3725,22.92,84473.73
TXN01281,2026-03-14,SUP008,Frontier Plastics,Polymers,PM-2002,"Polycarbonate sheet, 3 mm",sheet,203,203.18,40810.29
TXN01282,2025-04-28,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,12,4553.0,54060.65
TXN01283,2025-04-29,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,217,105.2,22588.4
TXN01284,2025-05-01,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,18,4230.18,75341.38
TXN01285,2025-05-07,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,375,252.9,93837.58
TXN01286,2025-05-07,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,10,4343.51,42977.73
TXN01287,2025-05-13,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,284,106.06,29804.08
TXN01288,2025-05-26,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,375,112.13,41606.43
TXN01289,2025-05-31,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,235,105.95,24635.2
TXN01290,2025-06-08,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,141,234.57,32726.19
TXN01291,2025-06-30,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,21,3904.21,81124.97
TXN01292,2025-07-09,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,244,102.62,24776.75
TXN01293,2025-07-11,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,8,4183.28,33113.79
TXN01294,2025-07-18,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,16,4302.11,68108.87
TXN01295,2025-07-23,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,9,4830.69,43018.42
TXN01296,2025-07-24,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,209,109.04,22549.13
TXN01297,2025-07-25,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,444,108.87,47827.93
TXN01298,2025-07-25,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,20,3932.61,77824.0
TXN01299,2025-07-27,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,21,4279.66,88926.41
TXN01300,2025-07-28,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,12,5000.95,59379.47
TXN01301,2025-07-29,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,221,254.84,55727.4
TXN01302,2025-08-09,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,502,109.27,54274.85
TXN01303,2025-08-28,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,15,3895.1,57811.26
TXN01304,2025-09-01,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,12,4690.96,55698.72
TXN01305,2025-09-01,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,157,231.36,35941.61
TXN01306,2025-09-03,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,155,244.71,37530.22
TXN01307,2025-09-05,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,199,105.14,20703.43
TXN01308,2025-09-05,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,25,4007.12,99123.03
TXN01309,2025-09-21,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,13,5008.8,64428.68
TXN01310,2025-09-27,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,20,4051.22,80171.07
TXN01311,2025-09-29,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,184,239.73,43644.9
TXN01312,2025-10-16,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,300,108.12,32095.17
TXN01313,2025-10-18,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,288,236.63,67432.5
TXN01314,2025-10-22,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,332,101.02,33185.86
TXN01315,2025-10-24,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,196,104.4,20246.94
TXN01316,2025-10-26,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,13,4936.13,63493.88
TXN01317,2025-10-31,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,173,107.15,18341.57
TXN01318,2025-11-03,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,152,232.57,34977.85
TXN01319,2025-11-06,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,16,4563.19,72242.25
TXN01320,2025-11-07,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,6,4567.09,27113.96
TXN01321,2025-11-16,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,489,102.17,49433.36
TXN01322,2025-12-02,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,21,3952.83,82135.26
TXN01323,2025-12-11,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,232,107.66,24715.09
TXN01324,2025-12-13,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,491,101.08,49106.92
TXN01325,2025-12-19,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,332,251.01,82456.72
TXN01326,2025-12-25,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,25,4334.29,107216.25
TXN01327,2025-12-25,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,377,247.74,92415.41
TXN01328,2025-12-30,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,212,249.8,52400.81
TXN01329,2026-01-03,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,357,237.61,83932.11
TXN01330,2026-01-14,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,456,106.06,47854.45
TXN01331,2026-01-17,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,442,100.96,44156.14
TXN01332,2026-01-20,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,6,4843.69,28756.12
TXN01333,2026-01-31,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,13,5098.65,65584.48
TXN01334,2026-02-04,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,23,4058.77,92368.76
TXN01335,2026-02-05,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,14,4746.4,65749.77
TXN01336,2026-02-09,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,23,4164.15,94766.84
TXN01337,2026-02-13,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,21,3997.1,83055.11
TXN01338,2026-02-16,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,488,100.91,48723.92
TXN01339,2026-02-17,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,17,4126.24,69407.35
TXN01340,2026-02-18,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,176,103.83,18081.19
TXN01341,2026-02-23,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,20,3992.29,79004.9
TXN01342,2026-03-05,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,507,110.47,55418.74
TXN01343,2026-03-06,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,20,4362.87,86338.51
TXN01344,2026-03-09,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,18,3891.67,69312.32
TXN01345,2026-03-09,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,479,110.36,52303.85
TXN01346,2026-03-15,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,12,4571.9,54285.04
TXN01347,2026-03-20,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,407,108.29,43611.64
TXN01348,2026-03-21,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,10,4710.6,46609.97
TXN01349,2026-03-23,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,22,4074.41,88693.06
TXN01350,2026-03-26,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,247,251.06,61359.8
TXN01351,2026-03-27,SUP001,Great Lakes Steel,Steel,ST-1004,Precision-machined steel bracket A,each,161,234.69,37386.46
TXN01352,2026-03-28,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,13,5038.29,64808.06
TXN01353,2026-04-01,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,11,4601.62,50084.79
TXN01354,2026-04-02,SUP001,Great Lakes Steel,Steel,ST-1003,"Steel bracket blank, 6 mm",each,363,108.52,38979.15
TXN01355,2026-04-05,SUP001,Great Lakes Steel,Steel,ST-1001,"Hot-rolled steel plate, 12 mm",ton,13,4320.72,55577.86
TXN01356,2026-04-22,SUP001,Great Lakes Steel,Steel,ST-1002,"Cold-rolled steel coil, 4 mm",ton,11,4710.37,51268.47
