PO_ID,LINE_NUMBER,REQ_ID,PO_DATE,SUPPLIER_ID,SUPPLIER_NAME,CATEGORY,ITEM_CODE,QUANTITY,PO_UNIT_PRICE,LINE_TOTAL,DEPT,REQUESTER,STATUS
PO-0172,1,REQ-0239,2025-12-31,SUPP-58,Pioneer Office Direct,Office Supplies,PAPR-0501,481,38.50,18518.50,Sales,P. Aldridge,Open
PO-0173,1,REQ-0290,2025-12-30,SUPP-08,Atlantic Steel Co,Raw Materials,STEEL-T01,1,720.00,720.00,IT,J. Whitfield,Open
PO-0174,1,REQ-0406,2026-01-26,SUPP-51,QuickParts Direct,MRO Supplies,BELT-V40,78,41.50,3237.00,HR,Z. Donovan,Open
PO-0175,1,REQ-0328,2026-04-14,SUPP-13,Eagle Mechanical Supply,MRO Supplies,FILT-0088,24,84.00,2016.00,IT,E. Calloway,Open
PO-0176,1,REQ-0140,2026-03-28,SUPP-09,Beacon Professional Services,Professional Services,AUDIT-DAY,2,1850.00,3700.00,IT,E. Calloway,Open
PO-0177,1,REQ-0321,2025-12-16,SUPP-02,Globex Supply Co,Components,RESI-100,57730,0.85,49070.50,Facilities,J. Whitfield,Open
PO-0178,1,REQ-0412,2026-04-08,SUPP-15,Magnolia Consulting LLC,Professional Services,AUDIT-DAY,24,1850.00,44400.00,Facilities,R. Tanaka,Open
PO-0179,1,REQ-0472,2025-12-09,SUPP-12,Liberty IT Hardware Corp,IT Hardware,LAPTOP-X1,9,1306.22,11755.98,IT,Y. Halverson,Open
PO-0180,1,REQ-0277,2025-12-11,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,1794,1.40,2511.60,HR,Y. Halverson,Open
PO-0181,1,REQ-0288,2026-04-16,SUPP-53,OfficeMax Local,Office Supplies,CHAIR-EX,128,280.00,35840.00,Procurement,R. McAllister,Open
PO-0182,1,REQ-0217,2026-02-16,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,FILT-0088,35,84.00,2940.00,HR,T. Renshaw,Open
PO-0183,1,REQ-0222,2025-11-08,SUPP-15,Magnolia Consulting LLC,Professional Services,LEGAL-HR,4,295.00,1180.00,Engineering,W. Espinoza,Open
PO-0184,1,REQ-0075,2025-11-04,SUPP-51,QuickParts Direct,MRO Supplies,WRNCH-022,1439,28.75,41371.25,Facilities,D. Holloway,Open
PO-0185,1,REQ-0387,2025-12-28,SUPP-02,Globex Supply Co,Components,RESI-100,845,0.85,718.25,IT,O. Beaumont,Open
PO-0186,1,REQ-0449,2025-11-25,SUPP-14,Redwood Office Products,Office Supplies,TONER-77,22,145.00,3190.00,Sales,V. Lindgren,Open
PO-0187,1,REQ-0390,2025-11-14,SUPP-02,Globex Supply Co,Components,BRKT-1144,2366,23.10,54654.60,Procurement,P. Aldridge,Open
PO-0188,1,REQ-0483,2026-04-13,SUPP-18,Riverside Electronic Components,Components,RESI-100,26734,0.85,22723.90,Engineering,X. Chambers,Open
PO-0189,1,REQ-0347,2026-03-15,SUPP-04,Northwind Industrial LLC,Components,CABL-2201,2000,14.20,28400.00,Operations,D. Holloway,Open
PO-0190,1,REQ-0195,2025-12-05,SUPP-20,Vanguard Office Supply Co,Office Supplies,TONER-77,58,145.00,8410.00,Facilities,T. Renshaw,Open
PO-0191,1,REQ-0107,2026-01-21,SUPP-11,Patriot Freight Lines,Logistics,EXPED-HR,198,110.00,21780.00,Procurement,B. Sutherland,Open
PO-0192,1,REQ-0098,2026-01-07,SUPP-07,Acme Components Inc,MRO Supplies,WRNCH-022,295,28.75,8481.25,IT,T. Renshaw,Open
PO-0193,1,REQ-0241,2026-01-29,SUPP-56,Ironclad Hardware,Components,BRKT-1144,5951,23.10,137468.10,IT,E. Calloway,Open
PO-0194,1,REQ-0437,2026-02-06,SUPP-06,Heartland Logistics Inc,Logistics,EXPED-HR,31,110.00,3410.00,Facilities,M. Castillo,Open
PO-0195,1,REQ-0279,2026-02-04,SUPP-20,Vanguard Office Supply Co,Office Supplies,TONER-77,19,145.00,2755.00,Finance,O. Beaumont,Open
PO-0196,1,REQ-0153,2026-03-09,SUPP-12,Liberty IT Hardware Corp,IT Hardware,LAPTOP-X1,12,1180.00,14160.00,Operations,K. Marquez,Open
PO-0197,1,REQ-0220,2026-01-11,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,533,38.50,20520.50,IT,A. Fontaine,Open
PO-0198,1,REQ-0099,2026-04-22,SUPP-15,Magnolia Consulting LLC,Professional Services,CONS-HR,63,175.00,11025.00,HR,K. Marquez,Open
PO-0199,1,REQ-0026,2025-11-10,SUPP-52,FastShip Express LLC,Logistics,EXPED-HR,143,110.00,15730.00,IT,D. Holloway,Open
PO-0200,1,REQ-0340,2026-02-19,SUPP-07,Acme Components Inc,MRO Supplies,LUBE-5G,343,62.00,21266.00,Procurement,R. Tanaka,Open
PO-0201,1,REQ-0187,2026-01-03,SUPP-02,Globex Supply Co,Components,CABL-2201,1901,12.80,24332.80,Facilities,Q. Strickland,Open
PO-0202,1,REQ-0044,2026-04-09,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,600,34.74,20844.00,Facilities,K. Marquez,Open
PO-0203,1,REQ-0452,2026-02-04,SUPP-13,Eagle Mechanical Supply,MRO Supplies,FILT-0088,5,84.00,420.00,Sales,N. Caruso,Open
PO-0204,1,REQ-0323,2026-02-05,SUPP-56,Ironclad Hardware,Components,RESI-100,9599,0.85,8159.15,IT,Y. Halverson,Open
PO-0205,1,REQ-0492,2025-12-04,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,LUBE-5G,283,62.00,17546.00,Procurement,G. Rasmussen,Open
PO-0206,1,REQ-0199,2026-01-03,SUPP-53,OfficeMax Local,Office Supplies,PAPR-0501,63,38.50,2425.50,IT,E. Calloway,Open
PO-0207,1,REQ-0130,2026-02-23,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,WRNCH-022,3276,28.75,94185.00,Procurement,P. Aldridge,Open
PO-0208,1,REQ-0308,2026-03-09,SUPP-08,Atlantic Steel Co,Raw Materials,ALUM-SQF,1627,14.40,23428.80,HR,B. Sutherland,Open
PO-0209,1,REQ-0278,2026-02-05,SUPP-10,Cornerstone Facilities Group,Facilities,HVAC-VST,23,425.00,9775.00,Sales,M. Castillo,Open
PO-0210,1,REQ-0110,2026-02-02,SUPP-17,Sterling Building Services,Facilities,HVAC-VST,35,425.00,14875.00,Operations,N. Caruso,Open
PO-0211,1,REQ-0141,2026-04-07,SUPP-01,Cascade Cable Systems,IT Hardware,SVR-3050,45,1450.00,65250.00,Finance,V. Lindgren,Open
PO-0212,1,REQ-0012,2026-04-22,SUPP-51,QuickParts Direct,MRO Supplies,BELT-V40,445,41.50,18467.50,HR,R. McAllister,Open
PO-0213,1,REQ-0188,2026-02-05,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,1255,1.40,1757.00,Operations,V. Lindgren,Open
PO-0214,1,REQ-0407,2026-02-14,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,52,9.20,478.40,HR,M. Castillo,Open
PO-0215,1,REQ-0263,2026-01-28,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,BELT-V40,1734,41.50,71961.00,Sales,Z. Donovan,Open
PO-0216,1,REQ-0325,2026-02-06,SUPP-20,Vanguard Office Supply Co,Office Supplies,PAPR-0501,1295,38.50,49857.50,HR,W. Espinoza,Open
PO-0217,1,REQ-0034,2025-10-31,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,LUBE-5G,77,62.00,4774.00,IT,S. Obi,Open
PO-0218,1,REQ-0481,2025-11-05,SUPP-05,Summit Office Solutions,Office Supplies,CHAIR-EX,87,280.00,24360.00,Procurement,L. Petersen,Open
PO-0219,1,REQ-0422,2025-12-10,SUPP-15,Magnolia Consulting LLC,Professional Services,LEGAL-HR,10,295.00,2950.00,HR,K. Marquez,Open
PO-0220,1,REQ-0386,2026-04-17,SUPP-51,QuickParts Direct,MRO Supplies,LUBE-5G,674,62.00,41788.00,Finance,V. Lindgren,Open
PO-0221,1,REQ-0269,2025-11-10,SUPP-06,Heartland Logistics Inc,Logistics,EXPED-HR,1758,110.00,193380.00,Facilities,O. Beaumont,Open
PO-0222,1,REQ-0115,2026-03-31,SUPP-07,Acme Components Inc,MRO Supplies,FILT-0088,51,84.00,4284.00,HR,R. Tanaka,Open
PO-0223,1,REQ-0474,2026-01-05,SUPP-07,Acme Components Inc,MRO Supplies,LUBE-5G,246,62.00,15252.00,Operations,X. Chambers,Open
PO-0224,1,REQ-0031,2025-12-19,SUPP-52,FastShip Express LLC,Logistics,FRGHT-MIL,106,4.85,514.10,Procurement,K. Marquez,Open
PO-0225,1,REQ-0150,2026-01-09,SUPP-51,QuickParts Direct,MRO Supplies,FILT-0088,449,75.77,34020.73,HR,M. Castillo,Open
PO-0226,1,REQ-0172,2026-01-13,SUPP-07,Acme Components Inc,MRO Supplies,FILT-0088,945,84.00,79380.00,HR,L. Petersen,Open
PO-0227,1,REQ-0461,2026-03-26,SUPP-05,Summit Office Solutions,Office Supplies,PAPR-0501,517,38.50,19904.50,IT,S. Obi,Open
PO-0228,1,REQ-0162,2026-04-20,SUPP-12,Liberty IT Hardware Corp,IT Hardware,LAPTOP-X1,48,1053.60,50572.80,Operations,Z. Donovan,Open
PO-0229,1,REQ-0011,2026-03-30,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,51,38.50,1963.50,HR,N. Caruso,Open
PO-0230,1,REQ-0433,2025-11-15,SUPP-56,Ironclad Hardware,Components,BRKT-1144,125,23.10,2887.50,IT,M. Castillo,Open
PO-0231,1,REQ-0301,2025-11-16,SUPP-07,Acme Components Inc,MRO Supplies,WRNCH-022,115,33.36,3836.40,Operations,V. Lindgren,Open
PO-0232,1,REQ-0248,2026-02-05,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,BELT-V40,90,41.50,3735.00,IT,L. Petersen,Open
PO-0233,1,REQ-0086,2025-11-24,SUPP-07,Acme Components Inc,MRO Supplies,LUBE-5G,33,62.00,2046.00,Finance,R. McAllister,Open
PO-0234,2,REQ-0219,2026-03-02,SUPP-07,Acme Components Inc,MRO Supplies,FILT-0088,500,87.50,43750.00,IT,A. Fontaine,Open
PO-0235,1,REQ-0369,2025-11-16,SUPP-57,Bay Area Couriers,Logistics,EXPED-HR,2655,110.00,292050.00,Facilities,M. Castillo,Open
PO-0236,1,REQ-0200,2026-01-13,SUPP-52,FastShip Express LLC,Logistics,EXPED-HR,9,110.00,990.00,Facilities,N. Caruso,Open
PO-0237,1,REQ-0284,2026-02-11,SUPP-51,QuickParts Direct,MRO Supplies,LUBE-5G,3,62.00,186.00,IT,J. Whitfield,Open
PO-0238,1,REQ-0117,2026-03-28,SUPP-19,Crestline Network Hardware,IT Hardware,LAPTOP-X1,180,1180.00,212400.00,Sales,M. Castillo,Open
PO-0239,1,REQ-0493,2026-03-16,SUPP-02,Globex Supply Co,Components,RESI-100,2254,0.85,1915.90,Engineering,D. Holloway,Open
PO-0240,1,REQ-0100,2025-11-17,SUPP-15,Magnolia Consulting LLC,Professional Services,CONS-HR,132,175.00,23100.00,Finance,W. Espinoza,Open
PO-0241,1,REQ-0397,2026-04-06,SUPP-19,Crestline Network Hardware,IT Hardware,LAPTOP-X1,2,1180.00,2360.00,Operations,E. Calloway,Open
PO-0242,1,REQ-0238,2026-02-14,SUPP-19,Crestline Network Hardware,IT Hardware,SVR-3050,4,1450.00,5800.00,HR,W. Espinoza,Open
PO-0243,1,REQ-0362,2026-03-17,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,412,9.20,3790.40,Sales,U. Vasquez,Open
PO-0244,1,REQ-0327,2025-11-24,SUPP-13,Eagle Mechanical Supply,MRO Supplies,BELT-V40,268,41.50,11122.00,IT,K. Marquez,Open
PO-0245,1,REQ-0050,2025-11-10,SUPP-55,CloudNine Hosting,IT Hardware,LAPTOP-X1,2,1180.00,2360.00,Engineering,Z. Donovan,Open
PO-0246,1,REQ-0156,2026-01-10,SUPP-05,Summit Office Solutions,Office Supplies,TONER-77,115,145.00,16675.00,Engineering,Y. Halverson,Open
PO-0247,1,REQ-0065,2026-01-25,SUPP-09,Beacon Professional Services,Professional Services,LEGAL-HR,9,295.00,2655.00,Facilities,M. Castillo,Open
PO-0248,1,REQ-0499,2026-01-30,SUPP-04,Northwind Industrial LLC,Components,CHIP-A12,1117,18.40,20552.80,HR,G. Rasmussen,Open
PO-0249,1,REQ-0104,2026-02-16,SUPP-02,Globex Supply Co,Components,RESI-100,19965,0.95,18966.75,IT,D. Holloway,Open
PO-0250,1,REQ-0400,2025-12-18,SUPP-05,Summit Office Solutions,Office Supplies,CHAIR-EX,305,280.00,85400.00,Procurement,R. McAllister,Open
PO-0251,1,REQ-0379,2025-12-05,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,LUBE-5G,248,62.00,15376.00,Operations,N. Caruso,Open
PO-0252,1,REQ-0350,2026-04-24,SUPP-52,FastShip Express LLC,Logistics,EXPED-HR,211,110.00,23210.00,Finance,Z. Donovan,Open
PO-0253,1,REQ-0426,2026-01-23,SUPP-01,Cascade Cable Systems,IT Hardware,SVR-3050,4,1450.00,5800.00,Operations,L. Petersen,Open
PO-0254,1,REQ-0035,2025-12-02,SUPP-09,Beacon Professional Services,Professional Services,CONS-HR,497,175.00,86975.00,Engineering,K. Marquez,Open
PO-0255,1,REQ-0421,2025-11-08,SUPP-16,Apex Polymer Group,Raw Materials,POLY-RES,235,9.20,2162.00,Finance,E. Calloway,Open
PO-0256,1,REQ-0432,2026-04-07,SUPP-11,Patriot Freight Lines,Logistics,EXPED-HR,7,110.00,770.00,Facilities,Y. Halverson,Open
PO-0257,1,REQ-0341,2025-12-28,SUPP-10,Cornerstone Facilities Group,Facilities,CLEAN-SF,649,1.49,967.01,Procurement,H. Okonkwo,Open
PO-0258,1,REQ-0451,2026-03-02,SUPP-16,Apex Polymer Group,Raw Materials,POLY-RES,4973,9.20,45751.60,Procurement,W. Espinoza,Open
PO-0259,1,REQ-0191,2025-12-05,SUPP-57,Bay Area Couriers,Logistics,EXPED-HR,212,110.00,23320.00,Procurement,P. Aldridge,Open
PO-0260,1,REQ-0149,2026-03-28,SUPP-54,TempForce Staffing,Professional Services,CONS-HR,24,175.00,4200.00,Facilities,B. Sutherland,Open
PO-0261,1,REQ-0181,2026-02-26,SUPP-58,Pioneer Office Direct,Office Supplies,PAPR-0501,518,38.50,19943.00,Engineering,N. Caruso,Open
PO-0262,1,REQ-0275,2026-01-04,SUPP-51,QuickParts Direct,MRO Supplies,BELT-V40,54,41.50,2241.00,Engineering,L. Petersen,Open
PO-0263,1,REQ-0491,2026-01-09,SUPP-15,Magnolia Consulting LLC,Professional Services,AUDIT-DAY,2,1850.00,3700.00,Facilities,U. Vasquez,Open
PO-0264,1,REQ-0113,2026-02-25,SUPP-52,FastShip Express LLC,Logistics,FRGHT-MIL,14721,4.85,71396.85,Sales,M. Castillo,Open
PO-0265,1,REQ-0049,2026-01-21,SUPP-18,Riverside Electronic Components,Components,CABL-2201,2791,12.80,35724.80,Facilities,L. Petersen,Open
PO-0266,1,REQ-0376,2025-10-31,SUPP-15,Magnolia Consulting LLC,Professional Services,CONS-HR,1142,175.00,199850.00,Facilities,Y. Halverson,Open
PO-0267,1,REQ-0231,2026-03-12,SUPP-16,Apex Polymer Group,Raw Materials,STEEL-T01,3,720.00,2160.00,IT,U. Vasquez,Open
PO-0268,1,REQ-0274,2025-11-21,SUPP-11,Patriot Freight Lines,Logistics,EXPED-HR,6,110.00,660.00,Sales,M. Castillo,Open
PO-0269,1,REQ-0480,2025-11-11,SUPP-08,Atlantic Steel Co,Raw Materials,ALUM-SQF,1441,14.40,20750.40,Procurement,V. Lindgren,Open
PO-0270,1,REQ-0307,2026-03-31,SUPP-19,Crestline Network Hardware,IT Hardware,RTR-A55,23,485.00,11155.00,Engineering,J. Whitfield,Open
PO-0271,1,REQ-0232,2026-02-20,SUPP-52,FastShip Express LLC,Logistics,FRGHT-MIL,532,4.85,2580.20,Facilities,M. Castillo,Open
PO-0272,1,REQ-0303,2025-12-03,SUPP-07,Acme Components Inc,MRO Supplies,FILT-0088,236,84.00,19824.00,Finance,K. Marquez,Open
PO-0273,1,REQ-0383,2026-01-26,SUPP-15,Magnolia Consulting LLC,Professional Services,LEGAL-HR,59,295.00,17405.00,Procurement,M. Castillo,Open
PO-0274,1,REQ-0186,2025-11-14,SUPP-05,Summit Office Solutions,Office Supplies,TONER-77,27,145.00,3915.00,IT,B. Sutherland,Open
PO-0275,1,REQ-0174,2025-11-20,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,2,1450.00,2900.00,Operations,H. Okonkwo,Open
PO-0276,1,REQ-0373,2025-11-17,SUPP-56,Ironclad Hardware,Components,CABL-2201,1020,12.80,13056.00,Finance,H. Okonkwo,Open
PO-0277,1,REQ-0477,2026-04-10,SUPP-17,Sterling Building Services,Facilities,HVAC-VST,2,425.00,850.00,Engineering,Q. Strickland,Open
PO-0278,1,REQ-0260,2026-01-07,SUPP-08,Atlantic Steel Co,Raw Materials,ALUM-SQF,679,14.40,9777.60,HR,P. Aldridge,Open
PO-0279,1,REQ-0155,2026-03-02,SUPP-04,Northwind Industrial LLC,Components,BRKT-1144,603,23.10,13929.30,Engineering,R. Tanaka,Open
PO-0280,1,REQ-0419,2025-12-19,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,FILT-0088,687,84.00,57708.00,IT,M. Castillo,Open
PO-0281,1,REQ-0000,2026-02-14,SUPP-18,Riverside Electronic Components,Components,CABL-2201,227,12.80,2905.60,Facilities,D. Holloway,Open
PO-0282,1,REQ-0463,2026-02-27,SUPP-20,Vanguard Office Supply Co,Office Supplies,PAPR-0501,38,38.50,1463.00,Procurement,M. Castillo,Open
PO-0283,1,REQ-0018,2026-02-17,SUPP-20,Vanguard Office Supply Co,Office Supplies,CHAIR-EX,322,280.00,90160.00,Finance,Z. Donovan,Open
PO-0284,1,REQ-0211,2025-12-05,SUPP-11,Patriot Freight Lines,Logistics,FRGHT-MIL,559,4.85,2711.15,Facilities,W. Espinoza,Open
PO-0285,1,REQ-0300,2026-01-20,SUPP-07,Acme Components Inc,MRO Supplies,WRNCH-022,801,28.75,23028.75,IT,E. Calloway,Open
PO-0286,1,REQ-0052,2026-03-14,SUPP-17,Sterling Building Services,Facilities,HVAC-VST,55,425.00,23375.00,Finance,Z. Donovan,Open
PO-0287,1,REQ-0009,2026-03-26,SUPP-08,Atlantic Steel Co,Raw Materials,ALUM-SQF,253,15.29,3868.37,Procurement,H. Okonkwo,Open
PO-0288,1,REQ-0434,2025-11-19,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,3,1450.00,4350.00,IT,G. Rasmussen,Open
PO-0289,1,REQ-0455,2026-02-13,SUPP-17,Sterling Building Services,Facilities,HVAC-VST,174,425.00,73950.00,Finance,O. Beaumont,Open
PO-0290,1,REQ-0161,2026-03-25,SUPP-05,Summit Office Solutions,Office Supplies,CHAIR-EX,16,280.00,4480.00,Engineering,R. McAllister,Open
PO-0291,1,REQ-0228,2026-03-23,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,BELT-V40,104,41.50,4316.00,Facilities,T. Renshaw,Open
PO-0292,1,REQ-0255,2025-12-10,SUPP-16,Apex Polymer Group,Raw Materials,ALUM-SQF,244,14.40,3513.60,Facilities,G. Rasmussen,Open
PO-0293,1,REQ-0444,2026-01-16,SUPP-02,Globex Supply Co,Components,BRKT-1144,61,23.10,1409.10,IT,S. Obi,Open
PO-0294,1,REQ-0229,2025-11-28,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,30036,9.20,276331.20,Sales,K. Marquez,Open
PO-0295,1,REQ-0423,2026-03-03,SUPP-18,Riverside Electronic Components,Components,RESI-100,1749,0.85,1486.65,Procurement,M. Castillo,Open
PO-0296,1,REQ-0485,2025-12-16,SUPP-18,Riverside Electronic Components,Components,BRKT-1144,3821,23.10,88265.10,IT,W. Espinoza,Open
PO-0297,1,REQ-0235,2026-01-10,SUPP-18,Riverside Electronic Components,Components,RESI-100,1874,0.85,1592.90,IT,R. McAllister,Open
PO-0298,1,REQ-0040,2025-11-11,SUPP-09,Beacon Professional Services,Professional Services,LEGAL-HR,13,295.00,3835.00,HR,W. Espinoza,Open
PO-0299,1,REQ-0429,2025-12-16,SUPP-53,OfficeMax Local,Office Supplies,CHAIR-EX,6,280.00,1680.00,Engineering,Z. Donovan,Open
PO-0300,1,REQ-0206,2026-04-13,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,368,38.50,14168.00,Sales,S. Obi,Open
PO-0301,1,REQ-0412,2026-04-04,SUPP-02,Globex Supply Co,Components,BRKT-1144,300,22.00,6600.00,Facilities,R. Tanaka,Open
PO-0302,1,REQ-0281,2026-03-09,SUPP-18,Riverside Electronic Components,Components,CABL-2201,208,12.80,2662.40,Engineering,T. Renshaw,Open
PO-0303,1,REQ-0367,2025-12-23,SUPP-07,Acme Components Inc,MRO Supplies,BELT-V40,394,41.50,16351.00,HR,R. McAllister,Open
PO-0304,1,REQ-0259,2026-02-22,SUPP-06,Heartland Logistics Inc,Logistics,EXPED-HR,463,110.00,50930.00,HR,E. Calloway,Open
PO-0305,1,REQ-0405,2025-12-06,SUPP-54,TempForce Staffing,Professional Services,LEGAL-HR,7,295.00,2065.00,Engineering,K. Marquez,Open
PO-0306,1,REQ-0142,2026-04-25,SUPP-15,Magnolia Consulting LLC,Professional Services,AUDIT-DAY,1,1850.00,1850.00,Operations,M. Castillo,Open
PO-0307,1,REQ-0430,2026-03-23,SUPP-12,Liberty IT Hardware Corp,IT Hardware,RTR-A55,33,485.00,16005.00,Sales,J. Whitfield,Open
PO-0308,1,REQ-0123,2026-01-23,SUPP-09,Beacon Professional Services,Professional Services,AUDIT-DAY,7,1850.00,12950.00,Engineering,R. Tanaka,Open
PO-0309,1,REQ-0164,2026-03-22,SUPP-56,Ironclad Hardware,Components,RESI-100,4362,0.85,3707.70,Finance,U. Vasquez,Open
PO-0310,1,REQ-0251,2025-12-09,SUPP-15,Magnolia Consulting LLC,Professional Services,AUDIT-DAY,8,1598.91,12791.28,Engineering,B. Sutherland,Open
PO-0311,1,REQ-0416,2026-03-25,SUPP-58,Pioneer Office Direct,Office Supplies,PAPR-0501,266,38.50,10241.00,IT,N. Caruso,Open
PO-0312,1,REQ-0084,2026-03-25,SUPP-15,Magnolia Consulting LLC,Professional Services,CONS-HR,73,202.49,14781.77,Sales,D. Holloway,Open
PO-0313,1,REQ-0253,2025-11-06,SUPP-16,Apex Polymer Group,Raw Materials,POLY-RES,359,9.20,3302.80,HR,H. Okonkwo,Open
PO-0314,1,REQ-0240,2026-02-22,SUPP-06,Heartland Logistics Inc,Logistics,EXPED-HR,21,125.45,2634.45,Facilities,B. Sutherland,Open
PO-0315,1,REQ-0258,2026-04-25,SUPP-51,QuickParts Direct,MRO Supplies,WRNCH-022,40,28.75,1150.00,Sales,B. Sutherland,Open
PO-0316,1,REQ-0080,2025-11-20,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,1,1450.00,1450.00,Sales,H. Okonkwo,Open
PO-0317,1,REQ-0005,2025-12-13,SUPP-12,Liberty IT Hardware Corp,IT Hardware,SVR-3050,1,1450.00,1450.00,IT,L. Petersen,Open
PO-0318,1,REQ-0027,2026-02-14,SUPP-53,OfficeMax Local,Office Supplies,TONER-77,8,145.00,1160.00,Operations,G. Rasmussen,Open
PO-0319,1,REQ-0349,2026-01-23,SUPP-15,Magnolia Consulting LLC,Professional Services,AUDIT-DAY,1,2061.02,2061.02,IT,Y. Halverson,Open
PO-0320,1,REQ-0285,2026-03-20,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,FILT-0088,3646,84.00,306264.00,Sales,R. Tanaka,Open
PO-0321,1,REQ-0420,2025-11-28,SUPP-56,Ironclad Hardware,Components,BRKT-1144,100,23.10,2310.00,Procurement,T. Renshaw,Open
PO-0322,1,REQ-0371,2026-02-01,SUPP-14,Redwood Office Products,Office Supplies,PAPR-0501,81,38.50,3118.50,Procurement,R. Tanaka,Open
PO-0323,1,REQ-0177,2026-01-02,SUPP-04,Northwind Industrial LLC,Components,CHIP-A12,111,18.40,2042.40,Procurement,R. Tanaka,Open
PO-0324,1,REQ-0431,2025-11-10,SUPP-16,Apex Polymer Group,Raw Materials,ALUM-SQF,88,14.40,1267.20,Operations,K. Marquez,Open
PO-0325,1,REQ-0127,2026-03-17,SUPP-08,Atlantic Steel Co,Raw Materials,STEEL-T01,5,720.00,3600.00,Facilities,T. Renshaw,Open
PO-0326,1,REQ-0221,2026-03-12,SUPP-12,Liberty IT Hardware Corp,IT Hardware,RTR-A55,38,485.00,18430.00,Facilities,D. Holloway,Open
PO-0327,1,REQ-0394,2026-04-22,SUPP-10,Cornerstone Facilities Group,Facilities,HVAC-VST,46,425.00,19550.00,Operations,S. Obi,Open
PO-0328,1,REQ-0456,2025-11-10,SUPP-13,Eagle Mechanical Supply,MRO Supplies,BELT-V40,105,41.50,4357.50,Facilities,U. Vasquez,Open
PO-0329,1,REQ-0443,2026-03-25,SUPP-16,Apex Polymer Group,Raw Materials,STEEL-T01,26,720.00,18720.00,Sales,T. Renshaw,Open
PO-0330,1,REQ-0265,2026-01-02,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,474,9.20,4360.80,Finance,K. Marquez,Open
PO-0331,1,REQ-0173,2026-02-19,SUPP-16,Apex Polymer Group,Raw Materials,ALUM-SQF,135,14.40,1944.00,Finance,Y. Halverson,Open
PO-0332,1,REQ-0114,2026-02-13,SUPP-09,Beacon Professional Services,Professional Services,LEGAL-HR,82,295.00,24190.00,Sales,K. Marquez,Open
PO-0333,1,REQ-0289,2025-10-30,SUPP-08,Atlantic Steel Co,Raw Materials,POLY-RES,2619,9.20,24094.80,Procurement,N. Caruso,Open
PO-0334,1,REQ-0295,2026-04-20,SUPP-05,Summit Office Solutions,Office Supplies,TONER-77,14,145.00,2030.00,Operations,L. Petersen,Open
PO-0335,1,REQ-0268,2026-04-14,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,WRNCH-022,545,28.75,15668.75,Operations,Z. Donovan,Open
PO-0336,1,REQ-0427,2026-03-27,SUPP-56,Ironclad Hardware,Components,CHIP-A12,17094,18.40,314529.60,Finance,S. Obi,Open
PO-0337,1,REQ-0446,2026-04-25,SUPP-58,Pioneer Office Direct,Office Supplies,TONER-77,31,145.00,4495.00,Procurement,T. Renshaw,Open
PO-0338,1,REQ-0335,2025-11-27,SUPP-15,Magnolia Consulting LLC,Professional Services,LEGAL-HR,1,295.00,295.00,Engineering,G. Rasmussen,Open
PO-0339,1,REQ-0133,2026-04-01,SUPP-02,Globex Supply Co,Components,CABL-2201,1666,12.80,21324.80,Finance,P. Aldridge,Open
PO-0340,1,,2025-10-31,SUPP-20,Vanguard Office Supply Co,Office Supplies,TONER-77,67,145.00,9715.00,Operations,P. Aldridge,Open
PO-0341,1,,2026-01-15,SUPP-07,Acme Components Inc,MRO Supplies,WRNCH-022,41,30.53,1251.73,HR,Y. Halverson,Open
PO-0342,1,,2026-01-28,SUPP-09,Beacon Professional Services,Professional Services,LEGAL-HR,55,295.00,16225.00,Finance,K. Marquez,Open
PO-0343,1,,2026-03-22,SUPP-03,Pinnacle Filtration LLC,MRO Supplies,LUBE-5G,124,62.00,7688.00,IT,J. Whitfield,Open
PO-0344,1,,2026-02-28,SUPP-06,Heartland Logistics Inc,Logistics,EXPED-HR,136,98.12,13344.32,IT,Y. Halverson,Open
PO-0345,1,,2026-01-20,SUPP-02,Globex Supply Co,Components,CABL-2201,530,12.80,6784.00,Procurement,H. Okonkwo,Open
