GR_ID,PO_ID,GR_DATE,SUPPLIER_ID,SUPPLIER_NAME,ITEM_CODE,PO_QTY,GR_QTY,QUALITY_ACCEPTED
GR-0260,PO-0367,2026-04-11,SUPP-01,Cascade Cable Systems,MNTR-2701,54,54,Yes
GR-0261,PO-0369,2026-02-27,SUPP-05,Summit Office Solutions,TONER-77,121,121,Yes
GR-0262,PO-0370,2026-04-25,SUPP-07,Acme Components Inc,WRNCH-022,111,111,Yes
GR-0263,PO-0371,2025-12-15,SUPP-17,Sterling Building Services,HVAC-VST,19,19,Yes
GR-0264,PO-0372,2026-02-02,SUPP-06,Heartland Logistics Inc,EXPED-HR,139,139,Yes
GR-0265,PO-0373,2026-02-28,SUPP-14,Redwood Office Products,PAPR-0501,156,173,Yes
GR-0266,PO-0375,2026-04-25,SUPP-08,Atlantic Steel Co,STEEL-T01,2,2,Yes
GR-0267,PO-0377,2026-01-03,SUPP-05,Summit Office Solutions,PAPR-0501,107,107,No
GR-0268,PO-0378,2025-12-29,SUPP-14,Redwood Office Products,PAPR-0501,352,352,Yes
GR-0269,PO-0379,2026-04-19,SUPP-15,Magnolia Consulting LLC,CONS-HR,53,53,Yes
GR-0270,PO-0380,2026-04-24,SUPP-02,Globex Supply Co,CHIP-A12,731,518,Yes
GR-0271,PO-0381,2026-04-12,SUPP-19,Crestline Network Hardware,SVR-3050,7,7,Yes
GR-0272,PO-0383,2025-12-28,SUPP-02,Globex Supply Co,RESI-100,6833,6833,Yes
